D1|D2
65|270
291|73
322|443
34|797
260|601
125|162
208|1850
64|619
95|990
37|1453
33|1147
91|685
173|1310
8|1698
127|2062
190|1954
270|1074
301|549
143|1249
219|60
56|151
196|307
101|1154
161|527
157|222
43|1622
258|292
23|85
183|1781
179|1474
294|380
263|904
132|773
247|1725
150|51
10|1561
71|1235
119|2244
229|539
14|1872
171|1001
98|1301
167|694
250|1486
40|1764
254|1795
6|1391
115|1944
194|0
59|454
273|1381
134|630
138|938
104|1462
164|834
29|392
81|1710
73|1095
77|1403
280|1196
46|1933
130|466
319|140
205|1541
69|925
147|2003
279|1549
232|844
17|2177
283|1858
216|1662
2|737
224|232
284|2166
333|914
306|854
329|609
158|2130
257|2104
215|2009
1|1084
221|369
316|2086
49|2233
107|1772
92|331
238|1013
242|1321
286|2021
