id|http://www.okkam.org/ontology_restaurant2.owl#name|http://www.okkam.org/ontology_restaurant2.owl#phone_number|http://www.okkam.org/ontology_restaurant2.owl#street
0|second avenue deli|212-677-0606|
1|asian||
2|||368 bleecker st.
3|||240 central park s.
4|il mulino|212-673-3783|
5|||8764 melrose ave.
6|louise's trattoria|213/667-0777|
7|||2905 buford hwy.
8|southern/soul||
9|||129 e. fremont st.
10|venetian|702/876-4190|
11|mediterranean||
12|mitali east-west|212-989-1367|
13|remi|310/393-6545|
14|continental||
15|||243 o'farrell st.
16|barbecue||
17|california culinary academy|415/771-3500|
18|||200 w. 70th st.
19|french||
20|caffe roma|212/226-8413|
22|||150 w. 46th st.
23|||732 broadway
24|southern||
25|||150 wooster st.  between houston and prince sts.
26|harris'|415/673-1888|
27|||12224 ventura blvd.
28|american (new)||
29|corrado cafe|212/753-5100|
31|kyo-ya. sheraton palace hotel|415/546-5000|
32|||181 w. 10th st.
33|mexican||
34|f. ille ponte ristorante|212/226-4621|
35|||3148 geary blvd.
36|yoyo tsumami bistro|415/922-7788|
37|italian||
38|original pancake house (at)|404-237-4116|
39|philippe the original|213-628-3781|
41|french roast|212/533-2233|
42|||2027 sawtelle blvd.
43|seafood||
44|bristol farms market cafe|310-643-5229|
45|middle eastern||
46|pacific new wave||
47|health food||
48|||54 irving pl. at 17th st.
49|||1716 pch
51|la cote basque|212-688-6525|
52|indo cafe|310-815-1290|
53|marquet patisserie|212/229-9313|
54|vietnamese||
55|||265 pharr rd.
57|coco loco|404/364-0212|
58|||730 n. la cienega blvd.
59|la salsa (la)|310-456-6299|
60|picholine|212-724-8585|
61|chinese||
62|||60 e. 54th st.
63|orso|212/489-7212|
64|||764 ninth ave.
65|||182 w. 58th st.
66|hamburgers||
67|ej's luncheonette|212-473-5555|
68|||923 peachtree st.  at 8th st.
70|||9255 sunset blvd.
71|jackson's farm|310/273-5578|
72|||600 ponce de leon ave.
73|virgil's real bbq|212-921-9494|
74|pomaire|212/ 956-3055|
75|american||
76|||86 w. third st.
77|la grenouille|212-752-1495|
78|||21 e. 16th st.
79|east european||
80|eclectic||
81|paty's|818/761-9126|
82|||14928 ventura blvd.
84|||3713 w. sahara ave.
85|ciboulette restaurant|404-874-7600|
87|||296 bleecker st.
88|||3073 piedmont rd.
89|patsy's pizza|718-858-4300|
91|||9876 wilshire blvd.
92|tommy tang's|213/937-5733|
93|french (new)||
94|||625 polk st.
96|garden court|415/546-5011|
97|||385 broome st. at mulberry
98|thailand restaurant|212-349-3132|
99|bbq||
100|||2100 van ness ave.
102|izzy's steak & chop house|415/563-0487|
103|||1013 3rd ave.  between 60th and 61st sts.
104|el teddy's|212/941-7070|
105|nickiemoto's: a sushi bar|404/842-0334|
107|majestic|404-875-0276|
108|||2 new montgomery st.  at market st.
110|le chardonnay (los angeles)|213-655-8880|
111|millennium|415/487-9800|
112|||39 desbrosses st.  near west st.
114|fishin eddie|212/874-3474|
115|||1611 post st.
117|||4330 peachtree rd.
118|steakhouses||
119|tortillas|404-892-0193|
120|||458 6th ave. at 11th st.
122|global|212/477-8427|
123|||1570 rosecrans ave. s.
124|duke's|310-652-3100|
126|ebisu|415-566-1770|
127|pizza||
128|||10428 1/2 national blvd.
130|johnny rockets (la)|213-651-3361|
132|||15 e. 12th st.  between 5th ave. and university pl.
134|motown cafe|212/581-8030|
136|||40  buckhead crossing mall on the sidney marcus blvd.
138|||22800 pch
139|russian/german||
140|sign of the dove|212-861-8080|
141|californian||
142|michael's (los angeles)|310-451-0843|
143|||322 w. 46th st.
144|peacock alley|212/872-4895|
145|||432 sixth ave.
146|||155 e. 55th st.
148|||1401 ocean ave.
151|abruzzi|404-261-8186|
152|||371 w. 46th st.  off 9th ave.
153|rosa mexicano|212/753-7407|
154|||3 e. 52nd st.
155|||2245 e. flamingo rd.
156|nobu|212-219-0500|
159|||8020 beverly blvd.
160|schatzi on main|310/399-4800|
162|nikolai's roof|404-221-6362|
163|||19 old fulton st.
164|||224 ponce de leon ave.
165|sylvia's|212-996-0660|
166|international||
168|||304 e. 48th st.
169|agrotikon|212/473-2602|
171|||market and new montgomery sts.
173|||106 bayard st.
174|||804 north point st.
175|buccaneer bay club|702-894-7350|
176|lowcountry barbecue|404/255-5160|
178|big cup|212/206-0059|
180|||3345 steiner st.
181|coffee shops/diners||
182|le soleil|415/668-4848|
183|||219 w. broadway  between franklin and white sts.
184|||247 buckhead ave.  east village sq.
185|south city kitchen|404/873-7358|
186|||1031 ponce de leon ave.
188|ritz-carlton cafe (atlanta)|404-659-0400|
189|||246 mcallister st.
191|||73 w. 71st st.
193|fujiyama mama|212/769-1144|
195|||774 ponce de leon ave. ne
196|campo santo|415-433-9623|
198|||33 93 2nd ave.  between 5th and 6th sts.
199|coffee bar||
200|i trulli|212/481-7372|
201|||8909 sunset blvd.
204|||1283 ninth ave.
205|mario's bohemian cigar store cafe|415-776-8226|
207|l'auberge|212/288-8791|
208|||7507 melrose ave.
211|local nochol|818-706-7706|
212|||104 w. 57th st.  near 6th ave.
213|||1147 third st.
215|indian||
216|pho hoa|213-626-5530|
217|||301 park ave.  between 49th and 50th sts.
218|rain|212/501-0776|
222|hedgerose heights inn  the|404-233-7673|
223|tommy's|213-389-9060|
224|||1063 1st ave. at 58th st.
225|sea grill|212/332-7610|
226|||105 hudson st.
227|||2290 peachtree rd.
229|||20 mott st.  between bowery and pell st.
230|vida|213/660-4446|
232|aqua|415-956-9662|
233|teresa's|212/228-0604|
234|||328 lenox ave.
235|||126 clement st.
236|windows on the world|212-524-7000|
238|||1022 3rd ave.  between 60th and 61st sts.
239|arturo's|212/677-3820|
242|||617 s. olive st.
243|plumpjack cafe|415-563-4755|
244|||3300 las vegas blvd. s.
246|monte carlo|702-733-4524|
247|||6301 roswell rd.  sandy springs plaza  sandy springs
248|pricci|404/237-2941|
250|bryant park grill  roof restaurant and bp cafe|212/840-6500|
251|||111 e. 22nd st.  between park ave. s and lexington ave.
253|||133 clement st.
254|steak houses||
255|pan-asian||
256|barbecue kitchen|404-766-9906|
257|||1144 crescent ave.
258|bamboo garden|702/871-3262|
259|||181 peachtree st.
261|||467 columbus ave.  between 82nd and 83rd sts.
263|halcyon|212/468-8888|
264|empress court|702/731-7888|
265|||240 columbus ave.
266|hamburger mary's|415-626-1985|
268|||122 e. 27th st.  between lexington and park aves.
270|granita|310-456-0488|
271|jewel of india|212/869-5544|
272|||2209 polk st.
273|slanted door|415-861-8032|
274|||1191 1st ave.  between 64th and 65th sts.
276|le colonial|212/ 752-0808|
277|||30869 thousand oaks blvd.
279|mulberry st.|818-906-8881|
280|pastis|415/391-2555|
281|mangia e bevi|212/956-3976|
282|||642 broadway
284|french (classic)||
285|ruth's chris steak house (los angeles)|310-859-8744|
286|||100 w. 82nd st.
287|sal anthony's|212/982-9030|
288|suppenkuche|415/252-9289|
290|||2575 beverly blvd.
292|ritz-carlton dining room (buckhead)|404-237-2700|
293|||19 w. 49th st.
294|stingray|212/501-7515|
295|delis||
297|||2 park ave. at 32nd st.
298|||129 n. la cienega blvd.
299|||816 folsom st.
300|||103 1st ave.  between 6th and 7th sts.
302|tse yang|212/688-5447|
303|khan toke thai house|415-668-6654|
304|||107th fl.
306|fiore rotisserie & grille|702-252-7702|
307|carmine's|212-362-2200|
309|||420 e. 59th st.  off 1st ave.
310|bolo|212/228-2200|
312|||1 w. 67th st.
313|abbey|404/876-8532|
314|border grill|310/451-1655|
315|||346 s. la brea ave.
316|||3145 las vegas blvd. s.
317|hot dogs||
318|sterling brunch|702-739-4651|
319|||500 pharr rd.
320|sundown cafe|404/321-1118|
322|||1437 virginia ave.
323|drago|310/828-1585|
324|japanese||
325|carey's corner|770-933-0909|
326|||4850 flamingo rd.
327|cafe roma|702/731-7547|
329|mexican/latin american/spanish||
330|||151 w. 54th st.  in the rihga royal hotel
331|cafe bizou|818-788-3536|
332|johnny rockets (at)|770-955-6068|
333|||3570 las vegas blvd. s
334|mikado|702/791-7111|
335|||1582 folsom st.
336|mo's burgers|415-788-3779|
338|||15 w. 44th st.
340|la reserve|212/247-2993|
341|bizou|415/543-2222|
342|||584 valencia st.
343|caffe dante|212/982-5275|
345|one market|415/777-5577|
346|||149 e. 57th st.
348|lincoln tavern|212/721-8271|
349|||17040 ventura blvd.
351|china grill|212/333-7788|
352|||1015 battery st.
354|splendido embarcadero|415/986-3222|
355|||800 9th ave. at 53rd st.
357|||224 s. beverly dr.
358|coffee shops||
359|||55 irving pl.
360|||601 hayes st.
361|world wrapps|415/563-9727|
362|scandinavian||
364|||428 amsterdam ave.  between 80th and 81st sts.
366|the savannah club|212/496-1066|
367|||777 sutter st.
368|caribbean||
369|21 club|212-582-7200|
370|bernard's|213-612-1580|
373|||67 n. raymond ave.
374|rose pistola|415-399-0499|
375|||34 e. 51st st.
377|water club|212/683-3333|
378|||9570 wilshire blvd.
379|||3700 w. flamingo rd.
380|gramercy tavern|212-477-0777|
382|||12 e. 12th st.
383|||3645 las vegas blvd. s.
384|||163 ponce de leon ave.
386|||168 w. colorado blvd.
387|cafe renaissance|770/441--0291|
388|cha cha cha|213/664-7723|
389|cuban||
390|bradshaw's restaurant|404-261-7015|
391|||2165 cheshire bridge rd.
392|montrachet|212-219-2777|
394|||57 jane st.
395|corner bistro|212-242-9502|
396|||1215 powers ferry rd.
397|||301 n. beverly dr.
398|hard rock cafe|310/276-7605|
400|harold's barbecue|404-627-9268|
402|golden steer|702/384-4470|
404|kelley & ping|212-228-1212|
406|||2970 cobb pkwy.
407|thai||
408|||3400 las vegas blvd. s
409|acquarello|415/567-5432|
410|||1322 grant st.
412|cafe la fortuna|212/724-5846|
414|||4 w. 49th st.
416|||598 fourth st.
418|cypress club|415/296-8555|
419|||81 macdougal st.  between houston and bleeker sts.
420|cafeterias||
421|captain's table|212/697-9538|
422|||1 market st.
424|||51 w. 64th st.
426|||60 w. 53rd st.
427|||2709 main st.
429|diva|212/941-9024|
430|||4
431|thepin|415/863-9335|
435|||2257 chestnut st.
437|apple pan  the|310-475-3585|
440|||2420 broadway at 89th st.
442|||515 s. olive st.
443|daniel|212-288-0033|
445|cassell's|213-480-8668|
446|american (traditional)||
448|||2 harrison st.
449|||500 e. 30th st.
450|latin american||
451|anthonys|404/262-7379|
452|||207 s. beverly dr.
454|lutece|212-752-2225|
455|milan cafe and coffee bar|212/807-1801|
456|diners||
457|||2 e. 55th st.
458|zankou chicken|818-244-1937|
459|||2911 s. pharr court
460|||7050 jimmy carter blvd.  norcross
462|fat matt's rib shack|404/607-1622|
463|eclipse|310/724-5959|
464|||1121 s. western ave.
466|san domenico|212-265-5959|
468|||331 w. fourth st.
469|||1 water st.
470|gray's papaya|212-799-0243|
472|||679 n. spring st.
473|le dome|310/659-6919|
474|||171 mcdonough blvd.
476|||308 w. sahara ave.
478|||127 greene st.
479|||3000 paradise rd.
480|menchanko-tei|212-247-1585|
481|rj's the rib joint|310/274-7427|
