id|title|actor name|director name|year|genre
0|Bain el atlal (1959)|Khaled, Rawhiyya|Zulficar, Ezzel Dine|1959|Romance
1|Amma Ariyan (1986)|Balan, Nilambur|Abraham, John (I)|1986|
2|Daughters of Today (1928)||Mehta, G.K. (I)|1928|
3|Amor brujo, El (1986)|Rodr?guez, Manuel (II)|Saura, Carlos|1986|Drama
4|Amorosa (1986)|Zweigbergk, Ulf von|Zetterling, Mai|1986|Drama
5|Up Pops the Devil (1931)|Dodd, Claire|Sutherland, A. Edward|1931|Comedy
6|Soldier (1998/I)|Mandelberg, Alex|Anderson, Paul W.S.|1998|Action
7|Angustia (1987)|Lloveras, Joan|Luna, Bigas|1987|Horror
8|B-hyeong namja chingu (2005)|Lee, Dong-geon|Choi, Seok-won|2005|Comedy
9|Azuloscurocasinegro (2006)|Mor?n, Manuel|S?nchez Ar?valo, Daniel|2006|Drama
10|Amazons (1986)|Johansson, Lena Marie|Sessa, Alejandro|1986|Sci-Fi
11|Sweet Savior (1971)|Waters, Alan|Roberts, Robert L.|1971|Drama
12|Gostya iz budushchego (1985) (mini)|Pirotsky, Vladislav|Arsyonov, Pavel|1985|Romance
13|Pauvre Pierrot (1892)||Reynaud, ?mile|1892|Short
14|Clown et ses chiens, Le (1892)||Reynaud, ?mile|1892|Short
15|Carmencita (1894)|Carmencita|Dickson, William K.L.|1894|Short
16|Soul Food (1997)|Braun, Tamara|Tillman Jr., George|1997|Comedy
17|Corbett and Courtney Before the Kinetograph (1894)|Courtney, Peter||1894|Short
18|Chinese Opium Den (1894)|||1894|Short
19|Song jia huang chao (1997)|Yeoh, Michelle|Cheung, Mabel|1997|History
20|Blacksmith Scene (1893)|Ott, John (II)|Dickson, William K.L.|1893|Short
21|Un bon bock (1892)||Reynaud, ?mile|1892|Short
22|American Tail, An (1986)|Plummer, Christopher (I)|Bluth, Don|1986|Comedy
23|Lassie (2005)|Monteath, David|Sturridge, Charles|2005|Family
24|Miss Jerry (1894)|Courtenay, William||1894|Romance
25|American Anthem (1986)|Maloney, Stacy|Magnoli, Albert|1986|Drama
26|America 3000 (1986)|Zahor, Anat|Engelbach, David|1986|Sci-Fi
27|Edison Kinetoscopic Record of a Sneeze (1894)|Ott, Fred|Dickson, William K.L.|1894|Short
28|Yakuza deka (1970)|Chiba, Sonny|Noda, Yukio|1970|Crime
29|Rocket Gibraltar (1988)|Coleman, Ren?e|Petrie, Daniel|1988|Drama
30|Broken English (1981)|Diallo, Makhete|Gleason, Michie|1981|Drama
31|Spice World (1997)|Donovan, Daisy|Spiers, Bob|1997|Comedy
32|Sphere (1998)|Schreiber, Liev|Levinson, Barry (I)|1998|Horror
33|Spanish Prisoner, The (1997)|Pepe, Neil|Mamet, David|1997|Thriller
34|Spawn (1997)|Williamson, Nicol|Dipp?, Mark A.Z.|1997|Horror
35|Speed 2: Cruise Control (1997)|Watkins, Royale|Bont, Jan de|1997|Romance
36|Armed and Dangerous (1986)|Kaufman, Seth|Lester, Mark L.|1986|Comedy
37|Ike: Countdown to D-Day (2004) (TV)|Gittins, Paul|Harmon, Robert (I)|2004|Drama
38|Control Room (2004)|Khader, Samir|Noujaim, Jehane|2004|Documentary
39|Coach Carter (2005)|Zielinski, Anna|Carter, Thomas (II)|2005|Drama
40|Sprung (1997)|LaTour, Nick|Cundieff, Rusty|1997|Comedy
41|Three Kings (1999)|Jones, Patrick O'Neal|Russell, David O.|1999|Comedy
42|April Fool's Day (1986/I)|Barlow, Pat (I)|Walton, Fred (II)|1986|Horror
43|Captive Wild Woman (1943)|Barnett, Vince|Dmytryk, Edward|1943|Horror
44|Susie the Little Blue Coupe (1952)|Holloway, Sterling|Geronimi, Clyde|1952|Short
45|Miracle on 34th Street (1947)|Howat, Clark|Seaton, George (I)|1947|Comedy
46|Vardaan (1975)|Mehmood (I)||1975|
47|Algol - Trag?die der Macht (1920)|Hofmann, Ernst|Werckmeister, Hans|1920|
48|Sudden Fear (1952)|Jackson, Selmer|Miller, David (I)|1952|Horror
49|Dao (1995)|Suet, Nei|Tsui, Hark|1995|Drama
50|Zombie Honeymoon (2004)|Sobestanovich, John|Gebroe, David|2004|Horror
51|Space Truckers (1996)|Dorff, Stephen|Gordon, Stuart (I)|1996|Comedy
52|Bitva za nashu Sovetskuyu Ukrainu (1943)||Dovzhenko, Aleksandr|1943|War
53|Mother Wore Tights (1947)|Borg, Veda Ann|Lang, Walter (I)|1947|Musical
54|Target (1952)|Reed, Walter (I)|Gilmore, Stuart|1952|Western
55|Jackals, The (1967)|Courtney, Bob|Webb, Robert D.|1967|Adventure
56|Jag ?r nyfiken - en film i gult (1967)|L?wenadler, Holger|Sj?man, Vilgot|1967|Drama
57|100 Rifles (1969)|Brown, Jim (I)|Gries, Tom|1969|Western
58|Calling Dr. Death (1943)|Moore, Charles R.|Le Borg, Reginald|1943|Horror
59|Talk About a Stranger (1952)|Gardner, John (IV)|Bradley, David (I)|1952|Drama
60|Cabin in the Sky (1943)|McQueen, Butterfly|Berkeley, Busby|1943|Fantasy
61|Panic (2000)|Macy, William H.|Bromell, Henry|2000|Comedy
62|It! (1966)|Goolden, Richard|Leder, Herbert J.|1966|Horror
63|Monsieur Vincent (1947)|Gaudeau, Yvonne|Cloche, Maurice|1947|Biography
64|Monsieur Verdoux (1947)|Abbott, Richard (I)|Chaplin, Charles|1947|Comedy
65|I'll Never Forget What's'isname (1967)|Chong, Mona|Winner, Michael|1967|Comedy
66|Van God Los (2003)|Avkapan, Selma|Kuijpers, Pieter|2003|Drama
67|Au-del? des lois humaines (1920)|Sablon, Germaine|Dumont, Marcel (III)|1920|
68|Tarzan's Savage Fury (1952)|Hart, Dorothy (I)|Endfield, Cy|1952|Action
69|Cha no aji (2004)|Takeda, Shinji (I)|Ishii, Katsuhito|2004|Comedy
70|Charlotte's Web (2006)|Burness, Courtney Taylor|Winick, Gary (I)|2006|Comedy
71|In the Heat of the Night (1967)|Richards, Beah|Jewison, Norman|1967|Drama
72|In Like Flint (1967)|Ihnat, Steve|Douglas, Gordon|1967|Comedy
73|Cake (2005/I)|Kass, Roger|Ganatra, Nisha|2005|Comedy
74|Beauties in Distress (1918)|West, Billy (I)|Chase, Charley|1918|Short
75|Big Toys No Boys 2 (2005) (V)|Mark, Sandra (II)|Trist?n (II)|2005|Adult
76|Three for Bedroom C (1952)|Bell, Rodney (I)|Bren, Milton H.|1952|Comedy
77|Aliens (1986)|Kash, Daniel (I)|Cameron, James (I)|1986|Horror
78|This Woman Is Dangerous (1952)|Webb, Richard (I)|Feist, Felix E.|1952|Drama
79|Thief, The (1952)|Vale, Rita|Rouse, Russell|1952|Drama
80|Coral Reef Adventure (2003)|Pyle, Richard|MacGillivray, Greg|2003|Short
81|Woman Thou Art Loosed (2004)|Reed, Jozella|Schultz, Michael (I)|2004|Drama
82|In Cold Blood (1967)|Levitt, Stan|Brooks, Richard (I)|1967|Drama
83|Manpower (1942)|McNutt, Paul V.||1942|Short
84|Nightmare Alley (1947)|Holmes, Taylor|Goulding, Edmund|1947|Drama
85|Denise Calls Up (1995)|Gunther, Dan (I)|Salwen, Hal|1995|Comedy
86|O (2001)|Hill, Shawn|Nelson, Tim Blake|2001|Romance
87|Tengoku no honya - koibi (2004)|Takeuchi, Yuko|Shinohara, Tetsuo|2004|Drama
88|Maine Dil Tujhko Diya (2002)|Tahil, Dalip|Khan, Sohail|2002|Drama
89|Rennie's Landing (2001)|Wells, Laura|Fusco, Marc (I)|2001|Drama
90|Costa do Castelo, O (1943)|Silva, Ant?nio (I)|Duarte, Arthur|1943|Comedy
91|Swing Girls (2004)|Motokariya, Yuika|Yaguchi, Shinobu|2004|Comedy
92|Corvette K-225 (1943)|McCutchin, Bob|Rosson, Richard (I)|1943|Drama
93|Nora Prentiss (1947)|Chandler, Eddy|Sherman, Vincent|1947|Drama
94|Kursi el iteraf (1949)|Ibrahim, Negma|Wahby, Youssef|1949|Drama
95|Nosotros, los pobres (1948)|Franco, Lidia (II)|Rodr?guez, Ismael (I)|1948|Drama
96|Corbeau, Le (1943)|Maign?, Liliane|Clouzot, Henri-Georges|1943|Drama
97|This Revolution (2005)|Dawson, Rosario|Marshall, Stephen (III)|2005|Thriller
98|Deadly Sins (1995)|Copping, Jennifer|Robison, Michael|1995|Drama
99|Pushpak (1988)|Ramesh, K.S.|Singeetham, Srinivasa Rao|1988|Comedy
100|Beast Wars Second: Ch? seimeitai Transformer (1998)|Takeuchi, Junko|Sekita, Osamu|1998|Sci-Fi
101|Hulk (2003)|St. Pierre, David (I)|Lee, Ang|2003|Action
102|Brick (2005)|Gordon-Levitt, Joseph|Johnson, Rian|2005|Drama
103|Coney Island (1943)|Harris, Sam (II)|Lang, Walter (I)|1943|Comedy
104|Burlesk King (1999)|Ilustre, Gino|Chionglo, Mel|1999|Drama
105|? nous la libert? (1931)|Maximilienne|Clair, Ren?|1931|Comedy
106|Commandos Strike at Dawn (1942)|Janssen, Elsa (I)|Farrow, John (I)|1942|Drama
107|Combat America (1943)|Posti, Paul J.||1943|War
108|Odd Man Out (1947)|Brambell, Wilfrid|Reed, Carol (I)|1947|Drama
109|Deadly Outbreak (1996)|Hyman, Jerry|Avery, Rick|1996|Action
110|Gwiyeowo (2004)|Kim, Seok-hun (II)|Kim, Su-hyeon (II)|2004|Drama
111|Tjenare kungen (2005)|Neld?n, Josefin|Malmros, Ulf|2005|Comedy
112|Plagues and Pleasures on the Salton Sea (2004)|Melvin, Petre|Springer, Jeff (III)|2004|Documentary
113|Heart Is Deceitful Above All Things, The (2004)|Davenport, David (VI)|Argento, Asia|2004|Drama
114|Brave New World (1998) (TV)|Kirkland, Sally (I)|Libman, Leslie|1998|Sci-Fi
115|My Favorite Brunette (1947)|Caruso, Anthony (I)|Nugent, Elliott|1947|Comedy
116|Coneheads (1993)|Bilzerian, Laurence|Barron, Steve|1993|Comedy
117|Chicken Little (1943)|Gill, Florence|Geronimi, Clyde|1943|Short
118|Neel Kamal (1947)|Khalili, Nafis|Sharma, Kidar Nath|1947|
