D1|D2
948|4167
26064|16724
5296|3735
11168|7886
2807|13715
22039|23109
21070|5237
26432|18949
2420|13074
16721|5757
6685|19517
6663|21347
26569|7587
19833|9584
6294|19223
24240|4255
5262|6573
17891|6925
20290|4423
25051|2519
9905|14421
17416|13590
27259|15865
13382|20728
25273|16866
5332|767
1554|19431
21412|9592
11539|9894
20528|17481
21410|9812
26172|7730
1386|619
12765|6455
2380|16422
21347|15035
13383|20668
2337|20001
763|19579
25042|3236
21308|18258
26924|10870
25437|3222
13876|12530
24678|686
13109|10691
15999|201
16525|22081
15519|7274
6125|534
18134|19601
7666|3695
5923|17314
10419|4597
8447|4435
26973|6897
6787|11142
15954|3928
5155|15526
9483|16743
26220|3862
16273|10217
493|9259
7887|18158
19748|16749
23656|20070
7243|6073
10819|4178
11238|2168
24541|12098
11924|10782
24863|18142
14665|12654
13202|3016
7870|19564
21123|914
6704|18064
19460|7876
18121|20694
6357|14082
24600|7219
3348|1699
8059|3895
16695|7991
25758|9414
4834|9440
26150|9718
5115|18882
3910|20591
23821|6401
14743|6213
25411|5523
15359|20621
15009|16882
8402|8229
7137|14921
9023|22221
7658|4447
3918|19944
13067|14233
593|1019
18957|16879
25834|3139
1152|20161
10312|13554
20921|17752
27180|22508
21889|2940
5704|2821
11412|20576
11903|12569
15972|2531
13418|17905
24511|14672
9587|8228
25775|8132
26209|4878
15330|23090
3489|22843
24186|8934
16187|17496
11038|18855
5925|17274
18142|19058
2307|22655
27438|1198
19093|5665
26419|20237
8453|4053
19297|21488
24604|7048
22273|3855
7933|14447
23239|21980
11459|16697
7483|19029
24156|11467
27238|17745
7612|8341
21333|16394
15980|1936
23101|719
18752|1237
26146|10089
9071|18310
13993|3001
15037|14655
929|5982
25034|4086
588|1524
10324|12638
1998|15570
2964|929
21023|9333
24113|15011
24938|12061
2742|19352
8436|5520
22580|11230
1168|18933
12040|1314
26541|10165
2138|3970
22869|20005
2569|960
25205|22753
25998|22468
5716|1917
16986|16757
1352|3680
10594|23030
8648|20707
24632|4788
21832|7760
7882|18745
21843|6843
3963|16359
8331|14264
2561|1653
9477|17451
25221|21382
125|7232
19687|21998
9682|432
7135|15226
26660|268
10607|21983
738|21903
22287|2798
59|12731
4461|7812
13035|17054
3315|4626
567|3343
24664|2174
9819|21861
2320|21693
12718|10644
4552|275
18255|9817
7594|9930
25756|9851
13409|18804
12631|17843
16634|13268
6749|14563
19513|3745
1314|6908
136|6382
27207|20450
27441|1028
11658|330
20520|18462
868|11170
13943|7277
12191|21623
3226|12073
26509|12859
6700|18649
495|9370
17955|1975
21833|7772
1576|17953
22303|1526
13095|12172
8254|20751
26413|20913
22652|5384
19394|13657
8760|11518
23487|1608
13432|16978
23243|21858
9974|9055
5875|21617
7862|20537
2788|15685
25692|15234
6674|20839
516|7657
20108|19913
11816|20017
19064|8249
15775|19107
22279|3551
22249|6095
4885|5493
9088|17099
4948|262
24628|5198
18504|22012
15602|746
26570|7852
17315|22401
1534|21491
2709|22269
12614|19344
24255|3426
8355|12417
7600|9546
7590|10376
24184|9317
20213|11233
12440|1024
24413|23065
8011|8220
2105|6890
15036|14985
16145|21244
16316|7051
18366|733
10747|10496
1362|3035
12667|14979
3685|6841
8875|2056
24931|12927
17437|12297
12744|8593
16253|12259
27265|15820
7309|958
4846|8798
20992|12187
9669|1710
25440|3393
8829|5895
22470|20589
20659|7062
15021|16253
15073|11937
25327|12781
22450|22240
6734|15927
18740|2486
9040|21143
25464|1412
21702|18786
25657|18166
9283|999
18330|3743
10213|22108
2581|195
8109|135
19480|6600
17526|4928
11890|13970
6262|22352
8799|8392
26655|876
4389|13983
19413|12153
4|17491
13909|10276
10022|5210
27279|14703
17106|7078
23441|5550
22698|1685
22510|17284
20282|5598
23038|6227
16568|18942
5498|20273
9286|777
19518|3477
27029|2694
20653|7563
13984|4042
22147|14633
15031|15444
24659|2807
4441|9695
18116|21581
4002|13377
18625|12104
10063|1843
7156|13742
9287|715
2580|326
3699|5752
19479|6762
7187|11173
2861|9773
16735|5125
14318|9138
8315|15842
9571|9902
9646|3671
24468|18611
2412|14289
22696|1878
20983|12982
807|16431
9138|13092
6714|17681
16340|5127
12981|21787
9538|12655
7121|16654
19287|22673
18315|5044
17811|14114
4096|5596
23884|1565
17070|10125
15341|22559
24155|11899
919|7153
3741|2311
12195|21538
25255|18919
24614|6590
7889|18489
15503|9098
17531|4610
7695|1824
8828|6082
15032|15430
2843|11320
17377|17398
16682|9594
13581|4826
14670|12750
25687|15793
22278|3876
9951|11192
27294|13488
17439|12304
11407|21415
1779|1354
25602|22859
959|3886
6337|16254
16359|3624
19437|10286
16750|3935
15210|727
15001|18070
3264|9187
25712|13815
4298|21681
21304|19213
10237|20254
17906|6342
11156|9511
4883|5903
26090|15223
9673|1549
14380|4069
830|14624
26515|12721
16342|5063
15981|2303
5941|16414
6109|2461
27261|16296
9102|16185
21084|4728
11998|5192
764|20135
25062|2215
8837|5430
11105|13796
18706|5485
27200|21370
4381|14839
9584|8962
3334|3432
7149|14465
11853|17276
2535|4220
5272|6428
