id|title|starring|writer|editor
0|The Silver Lining|Gayne Whitman||
1||Arthur Christopher Orme Plummer||
2|Kannathil Muthamittal|Nandita Das|Mani Ratnam|
3|Zeb vs. Paprika|Arthur Stanley Jefferson|Al Giebler|
4|Thinner|Lucinda Jenney|Michael McDowell|
5|American Ninja 2: The Confrontation|Michael Dudikoff|Avi Kleinberger|
6||Poonam Dhillon|Salim Khan|
7|Slipping Wives|Herbert Rawlinson|Harry Eugene Roach|
8||Madhur Jaffrey|Ruth Prawer Jhabvala|
9||Genelia D'Souza|N. Shankar|
10|Reunion in France|Marion Robert Morrison|Marc Connelly|
11|It Happened Here|Reginald Marsh (actor)|Kevin Brownlow Andrew Mollo|
12||Kamal Haasan||
13||Tom Laughlin (actor)|Delores Taylor|
14|Inferno|Daria Nicolodi|Dario Argento|
15|Lebenszeichen|Wolfgang Reichmann|Werner Herzog|
16|The Warrens of Virginia|Sarah Blanche Sweet|William Churchill DeMille|
17||Robert John Wagner|James Salter|
18|Abbott and Costello Go to Mars|Lou Costello|John Grant (screenwriter)|
19||Mary William Ethelbert Appleton Burke|Florence Ryerson|
20|The Sixth Man|Kadeem Hardison|Christopher Reed|
21|Academy Award for Documentary Feature|||
22|Que la barque se brise, que la jonque s'entrouvre|Vantha Talisman u00C9ric Nguyen|Rithy Panh|
23||Terrance Quinn|Ron Nyswaner|
24|Evil Ambitions|Paul Morris (actor)|Mark Burchett|
25||Leslie William Nielsen|Wendy Wacko|
26|List of Sundance Film Festival award winners|||
27|The Sundowners|Peter Alexander Ustinov|Isobel Lennart|
28|Minbo|Nobuko Miyamoto|Juzo Itami|
29|Corpse Bride|Helena Bonham Carter|Caroline Thompson|
30|Sinbad||Jack Olesker|
31|Saat Hindustani|Amitabh Bachchan|Khwaja Ahmad Abbas|
32||Selma Blair Beitner|Jason Freeland|
33|pretty_maids_all_in_a_row|Angeline Brown|Francis Pollini|
34|House of the Long Shadows|Christopher Frank Carandini Lee|Seven Keys to Baldpate|
35||Victoria Principal|John Frederick Milius|
36||Isabelle Yasmine Adjani|Marc Perrier|
37|Escape from Hell|Anthony Steffen Ajita Wilson Cristina Lau Cintia Lodetti|Sergio Chiusi Roberto Estu00E9vez Anthony La Penna Edoardo Mulargia|
38|Claustrophobia|Judith O'Dea|Mark Tapio Kines|
39|The Trial of Madame X|Mara Russell-Tavernan Paul England|Alexandre Bisson|
40|Under Two Flags|Rosalind Russell||
41||Gajala|Pruthvi Raj|
42|Serial (film)|||
43||Luke Bishop|Kathleen Byrson|
44|The Time Traveler's Wife|Rachel McAdams|Jeremy Leven|
45||Jerzy Fedorowicz|Krzysztof Kie?lowski|
46||Teresa Stratas|Alexandre Dumas fils|
47||Douglas Rushkoff|Fate|
48|Police Academy 4: Citizens on Patrol|David Graf|Gene Quintano|
49|8 Heads in a Duffel Bag|Kristy Swanson|Tom Schulman|David Holden
50|Ghosts of Mars|Pamela Suzette Grier|John Howard Carpenter|
51||Ralph Bates|Tudor Gates|
52||Larry Fine (actor)||
53||Gregory Neale Harrison|Mark Ganzel Barry Kemp|
54||Eiji Wentz|Toshiki Inoue|
55|Don't Look Now|Julie Frances Christie|Allan Scott (screenwriter)|
56|One More Time|Peter Sydney Lawford|Michael Pertwee|
57|His Favourite Pastime|Viola Barry|Craig Hutchinson|
58|Un Chant d'Amour|Java (actor)|Jean Genet|
59||Ruth Elizabeth Davis|David Greene Barry Oringer|
60|Wild Country|Peter Capaldi|Craig Strachan|
61||Sombat Metanee|Rattan Pestonji|
62||Leslie Wing|Rosemarie Turko|
63||Peter Reid (triathlete)||
64||Kenji Oyama|Torashiro Sait?|
65|The Squaw Man|Elliott Dexter|Beulah Marie Dix Edwin Milton Royle|
66|Caravaggio|Shaun Mark Bean|Derek Jarman Suso Cecchi d'Amico Nicholas Ward-Jackson (story)|
67|Bedtime Story|Shirley Mae Jones|Paul Henning|
68|The Blood of a Poet|Pauline Carton||
69|Two English Girls|Jean-Pierre L?aud|Franu00E7ois Roland Truffaut|
70||Carol J. Clover||
71|Columbia Pictures|||
72|Luke, Patient Provider|Harold Lloyd||
73|Blood Feast|William Kerwin|David F. Friedman|
74|Sweet Dreams|Edward Allen Harris|Robert Getchell|
75||Ashfaq Bhatti||
76|Country Dance|Michael Craig|James Kennaway|
77|The Seeker|Amelia Warner|John Hodge|
78||Bob Dylan||
79|Mysterious Skin|Richard Riehle|Scott Heim|
80|Alien Love Triangle|Kenneth Charles Branagh|John Hodge (screenwriter)|
81||Kathy Ann Najimy|Peter Michael Paige|
82|Dead Man|John Christopher Depp II|James R. Jarmusch|
83||Dave Grohl|Jed Shepherd|
84|||Kaneto Shind?|
85|Long Wolf and Cub: Baby Cart in Land of Demons|Tomisaburo Wakayama|Kazuo Koike|
86|Starman|Karen Jane Allen|Bruce A. Evans|
87|Saved!|Eva Amurri|Michael Urban|
88||Jacquiline Alice Newlin|Ralph Spence|
89|The Girl In The Park|Elias Koteas|David Auburn|
90|Sublime|Lawrence Hilton Jacobs|Erik Jendresen|
91|The Barbarian and the Geisha|Marion Robert Morrison|Ellis St. Joseph|
92||Yuri Yakovlev|Eldar Ryazanov|
93|Police Academy 5: Assignment Miami Beach|David Graf|Neal Israel|
94|Light Sleeper|William J. Dafoe|Paul Schrader|
95|Blade Movies|Ronald Francis Perlman|Gene Colan|
96|Midnight Express|Irene Miracle|Billy Hayes (smuggler)|
97|La venus maldita|Jos? Luis L?pez V?zquez|;(story)|
