id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes
0||Edmon Ryan|||1984-01-01|1905-01-01||||actor|
1||Steve Forrest|||2013-01-01|1925-01-01||||actor|
2|Gar ho yuet yuen|||||||2008-01-01|Comedy,Drama||44
3||Albert Banzon||||||||camera_department,cinematographer,writer|
4|Chapter 58||6|5||||2017-01-01|Drama||55
5||George Lopez||||1961-01-01||||producer,actor,writer|
6||Wallace Bosco|||1973-01-01|1880-01-01||||actor,writer,producer|
7|Bonusprogram med extra tester||8|3||||2019-01-01|Comedy||
8|For God and Country||12|4||||1996-01-01|Crime,Drama,Mystery||
9||Benedict Cumberbatch||||1976-01-01||||actor,producer,soundtrack|
10||Genki Yoshimura||||||||writer,actress,director|
11||Sayid||||||||actor,miscellaneous|
12||Jeanne Moody||||1931-01-01||||actress|
13||Elizabeth Enright||||||||writer|
14||Fredrik Svensson||||1990-01-01||||actor|
15||John Bayliss||||||||actor|
16|Poslednyaya zhertva|||||||1976-01-01|Drama,Romance||103
17|Motherhunt: Part 2||7|2||||2002-01-01|Action,Drama,Mystery||
18||Ryo Ishibashi||||1956-01-01||||actor|
19|Grudge Match||21|1||||1961-01-01|Adventure,Drama,Family||30
20||John Vivyan|||1983-01-01|1915-01-01||||actor|
21||Hellmut Lange|||2011-01-01|1923-01-01||||actor,writer|
22||Joel Schumacher|||2020-01-01|1939-01-01||||director,writer,producer|
23|Circles of Panic||5|7||||1959-01-01|Drama||30
24||Joseph J. Greene|||1979-01-01|1894-01-01||||actor|
25||Paul Quinn|||||||||
26|The Refinement of 'Ab'||21|2||||1955-01-01|Drama||30
27|A Shot in the Dark||4|1||||1993-01-01|Crime,Drama,Mystery||
28||H? Xuy?n||||||||actress|
29||Don Haggerty|||1988-01-01|1914-01-01||||actor,miscellaneous|
30|Point of Entry||21|1||||1963-01-01|Drama,Sport,Western||60
31||Don Megowan|||1981-01-01|1922-01-01||||actor|
32||Ben Piazza|||1991-01-01|1933-01-01||||actor|
33||Danica Dawn Johnston||||||||actress|
34||Russell Banks||||1940-01-01||||writer,producer,actor|
35||Abdulkhair Kasymov|||2001-01-01|1907-01-01||||actor|
36||Margie Liszt|||1992-01-01|1909-01-01||||actress|
37|Thomas Paine||4|2||||2004-01-01|Biography,Comedy,Documentary||
38||Richard Yearwood||||1970-01-01||||actor,director,producer|
39||William Bruckner|||1987-01-01|1915-01-01||||writer,director|
40||Ester Namdar||||||||writer,script_department|
41|The Shark Affair||2|1||||1962-01-01|Adventure||
42||Boris Blank||||1938-01-01||||production_designer,director,art_director|
43||Cheryl Crotser||||||||actress|
44||Janet McTeer||||1961-01-01||||actress,writer,producer|
45||Collin O'Neal||||||||actor,director,producer|
46||Pamela Dean||||||||actress|
47||Robert J. Hogan|||1963-01-01|1897-01-01||||writer|
48||Alec C. Snowden|||1983-01-01|1901-01-01||||producer,director,actor|
49||Ingrid Veninger||||1970-01-01||||actress,producer,writer|
50||Linda Chung||||1984-01-01||||actress,animation_department,soundtrack|
51||George W. George|||2007-01-01|1920-01-01||||writer,producer,miscellaneous|
52||Stanford Whitmore|||2014-01-01|1925-01-01||||writer|
53||Alan DeWitt|||1976-01-01|1921-01-01||||actor,miscellaneous,director|
54|Ede's Bombshell||25|2||||1962-01-01|Adventure,Drama,Family||30
55||Grit Boettcher||||1938-01-01||||actress,soundtrack|
56||Gene Barry|||2009-01-01|1919-01-01||||actor,writer,soundtrack|
57||Beverly Hayes||||1940-01-01||||actress,writer,script_department|
58||Maximilian Schell|||2014-01-01|1930-01-01||||actor,director,writer|
59|Big Little Lie||19|1||||1954-01-01|Drama||30
60||John Hart|||2009-01-01|1917-01-01||||actor,sound_department,producer|
61||Jan Merlin|||2019-01-01|1925-01-01||||actor,writer,miscellaneous|
62||Don Edmonds|||2009-01-01|1937-01-01||||actor,producer,director|
63||Susan Seaforth Hayes||||1943-01-01||||actress|
64|Sink or Swim||11|2||||1960-01-01|Adventure||48
65|Folge 4||4|1||||1972-01-01|Comedy,War||
66||Matt Witten||||||||producer,writer,miscellaneous|
67||Ruth Storey|||1997-01-01|1913-01-01||||actress,soundtrack|
68||Michael Elwyn||||1942-01-01||||actor|
69||Doc Hammer||||||||visual_effects,actor,writer|
70||Kirt Struemph|||||||||
71||Gaby Stenberg|||2011-01-01|1923-01-01||||actress,soundtrack|
72||David Robinson||||||||writer|
73||Tony Morphett|||2018-01-01|1938-01-01||||writer,producer,script_department|
74||Kevin Carlyon|||||||||
75||Brad Goertz||||||||actor|
76||Frank DeKova|||1981-01-01|1910-01-01||||actor,soundtrack|
77||Daniel Attias||||||||director,producer,assistant_director|
78||Johnny Crawford||||1946-01-01||||actor,soundtrack,music_department|
79||Alik Sakharov||||1959-01-01||||cinematographer,director,producer|
80||Whitfield Connor|||1988-01-01|1916-01-01||||actor|
81|The Mask of Talugi||24|1||||1962-01-01|Adventure||
82||Tucker Gates||||||||director,producer,miscellaneous|
83|The Hero||6|8||||2011-01-01|Comedy||30
84||Ruth Brady|||1997-01-01|1920-01-01||||actress|
85||Hugh Corcoran||||1947-01-01||||actor,producer|
86||Ed Adamson|||1972-01-01|1915-01-01||||writer,producer,script_department|
87||Ben Cole||||||||cinematographer,camera_department,editor|
88||June Kenney||||1933-01-01||||actress|
89||Mariano Lisa||||||||writer,director,cinematographer|
90||Charles F. Haas|||2011-01-01|1913-01-01||||director,producer,actor|
91|Adam San||29|2||||1961-01-01|Adventure||60
92|Chapter 18||5|2||||2014-01-01|Drama||50
93||John London|||2002-01-01|1912-01-01||||production_manager,producer,miscellaneous|
94||Jacqueline deWit|||1998-01-01|1912-01-01||||actress|
95||J. Pat O'Malley|||1985-01-01|1904-01-01||||actor,soundtrack|
96||Joe Walker||||||||editor,sound_department,composer|
97|Episode #2.4||4|2||||1999-01-01|Drama||21
98||Dick Balduzzi|||2020-01-01|1928-01-01||||actor,soundtrack,miscellaneous|
99||Heinz Klevenow|||1975-01-01|1908-01-01||||actor|
100|Thanksgiving in Beaver Run||10|1||||1953-01-01|Drama||30
101||Norman Ollestad|||1979-01-01|1935-01-01||||actor|
102||Cloris Leachman|||2021-01-01|1926-01-01||||actress,soundtrack|
103||Merry Anders|||2012-01-01|1934-01-01||||actress,soundtrack|
104||Charles G. Martin|||1998-01-01|1912-01-01||||actor|
105||Guy Lee|||1993-01-01|1927-01-01||||actor|
106||J?rgen Goslar||||1927-01-01||||director,actor,writer|
107||James Bulliard||||1978-01-01||||actor|
108||Sally Blane|||1997-01-01|1910-01-01||||actress,soundtrack|
109||Samir||||||||actor|
110||Delroy Brown||||||||actor,producer|
111|Rain Shadow||||||2007-01-01|2007-01-01|Drama||60
112|Peril at Pitcairn||9|1||||1959-01-01|Adventure||60
113||Philip Akin||||1950-01-01||||actor,miscellaneous|
114|Appointment at Tara-Bi||1|3||||1961-01-01|Adventure||60
115||Charles Napier|||2011-01-01|1936-01-01||||actor,soundtrack,music_department|
116||Nancy Gates|||2019-01-01|1926-01-01||||actress,soundtrack|
117||Paul Haddad|||2020-01-01|1963-01-01||||actor|
118|Uncle Harry's Horrible House of Horrors||10|2||||1994-01-01|Animation,Comedy,Fantasy||21
119||Jason Horwitch||||||||producer,writer|
120||Dipankar Dey||||1944-01-01||||actor,miscellaneous|
121||Harry Arnie|||1984-01-01|1907-01-01||||actor|
122||Paul Harvey|||1955-01-01|1882-01-01||||actor|
123||Fritz Feld|||1993-01-01|1900-01-01||||actor,miscellaneous,soundtrack|
124||Sari Mordana||||||||actress|
125||Fay Bainter|||1968-01-01|1893-01-01||||actress,soundtrack|
126||Ver?nica S?nchez||||1977-01-01||||actress,soundtrack|
127||Nick Gomez||||1963-01-01||||director,writer,actor|
128||Tom Dyer|||||||||
129||Bernard Cornwell||||1944-01-01||||writer|
130||Walter Brooke|||1986-01-01|1914-01-01||||actor|
131||Candy Moore||||1947-01-01||||actress|
132|Le 8 mai 1945, la capitulation|||||||2005-01-01|Documentary,History,War||56
133||John Allegra||||||||actor|
134||Ami Canaan Mann||||1969-01-01||||director,writer,soundtrack|
135||Christopher Redman||||1980-01-01||||actor,director,writer|
136||Helmut Weiss|||1969-01-01|1907-01-01||||director,actor,writer|
137||Naaman Brown|||1988-01-01|1916-01-01||||actor|
138|A Bride for the Captain||23|3||||1962-01-01|Adventure||48
139|The Damage Done||20|4||||1996-01-01|Crime,Drama,Mystery||
140||Hugo Grimaldi|||1998-01-01|1912-01-01||||miscellaneous,editor,producer|
141||Willis Bouchey|||1977-01-01|1907-01-01||||actor|
142||Kristina Lilley||||1963-01-01||||actress|
143|Take Care of My Child||11|4||||1956-01-01|Drama||30
144||Jean-Marc Thibault|||2017-01-01|1923-01-01||||actor,soundtrack,writer|
145||Sermin H?rmeri?||||1947-01-01||||actress|
146||Roger Til|||2002-01-01|1909-01-01||||actor|
147||Ori Pfeffer||||1975-01-01||||actor,miscellaneous|
148||Gertrude Flynn|||1996-01-01|1909-01-01||||actress|
149||George Buza||||1949-01-01||||actor|
150||Rose Barbato||||||||actress|
151|The Car Salesman||1|2||||2001-01-01|Comedy||30
152||Gloria Vanderbilt|||2019-01-01|1924-01-01||||actress,miscellaneous|
153||Robert Dowdell|||2018-01-01|1932-01-01||||actor,camera_department|
154||Yan Tual||||||||actor|
155||Walter Rathgeber||||||||writer|
156|Off-Duty Affair||16|7||||1960-01-01|Drama||30
157||Bob Einstein|||2019-01-01|1942-01-01||||writer,actor,producer|
158||Valentina Cardinalli||||1975-01-01||||actress|
159||Ivica Matic|||1976-01-01|1948-01-01||||writer,cinematographer,director|
160||Justin Brady||||||||actor,art_department|
161||James Foley||||1953-01-01||||director,writer,producer|
162|Super Dirty||2|2||||2006-01-01|Reality-TV||
163|Joey the Weep||16|1||||1974-01-01|Crime,Drama||60
164||Susan Hampshire||||1937-01-01||||actress,soundtrack|
165||Audrey Lives||||||||writer|
166||Natalya Loginova||||||||editor|
167||Ray Loring|||2008-01-01|1943-01-01||||music_department,composer,producer|
168||Richard Lewis||||1947-01-01||||actor,writer,producer|
169|Katy Perry||2|20||||2009-01-01|Documentary,Music||
170|Son of a Gun||3|1||||1993-01-01|Crime,Drama,Mystery||
171||Misha Manson-Smith||||1973-01-01||||director,producer,editor|
172||Patricia Falken Smith|||2001-01-01|1926-01-01||||writer,miscellaneous|
173|Interior Decorator||5|1||||2000-01-01|Comedy||29
174||Matthew Rapf|||1991-01-01|1920-01-01||||producer,writer|
175||Liam Barr||||||||actor|
176||Tom Clancy|||1990-01-01|1923-01-01||||actor,soundtrack,music_department|
177||Wolfgang Liebeneiner|||1987-01-01|1905-01-01||||director,actor,writer|
178||Michael Whetstone||||||||production_designer,art_department,art_director|
179||Joey Scott||||1953-01-01||||actor|
180||Cary Joji Fukunaga||||1977-01-01||||producer,director,writer|
181||Wright King|||2018-01-01|1923-01-01||||actor|
182||John Van Dreelen|||1992-01-01|1922-01-01||||actor|
183|Chick Sexer||4|1||||2005-01-01|Reality-TV||44
184||Patrick Loubert||||||||producer,writer,director|
185||Billy Bretherton|||||||||
186|Vicious||||||2016-01-01|2013-01-01|Comedy||23
187||Jayne Eastwood||||1946-01-01||||actress,soundtrack|
188||Helmut K?utner|||1980-01-01|1908-01-01||||director,writer,actor|
189|Kiss Tomorrow Goodbye||2|3||||2019-01-01|Crime,Drama,Mystery||58
190||Mike Grimmer||||||||actor|
191||Alpesh Patel||||||||editor,editorial_department,producer|
192||Jeanne Cooper|||2013-01-01|1928-01-01||||actress,soundtrack|
193|Smokey Joe's Cafe: The Songs of Leiber and Stoller|||||||2002-01-01|Musical||105
194||Estela Bravo||||||||director,writer,producer|
195||Mary Adams|||1973-01-01|1910-01-01||||actress|
196||Nancy Burrage Owen||||||||writer|
197||Elvira Curci|||1984-01-01|1900-01-01||||actress|
198||Alan Dexter|||1983-01-01|1918-01-01||||actor,soundtrack|
199||Jay Simms||||||||writer|
200||Kamal Xudaverdiyev|||2008-01-01|||||actor|
201||David Moore||||||||director,producer|
202||Chris Snell||||||||actor|
203|The Benadryl Brownie||2|3||||2002-01-01|Comedy||29
204||Kenneth L. Evans||||||||writer,producer|
205||Mychelle Deschamps||||||||producer,art_department|
206||Lev Lyubetskiy|||2000-01-01|1920-01-01||||actor|
207|No Help Wanted||10|2||||1954-01-01|Drama||30
208||Oscar Zia||||1996-01-01||||actor|
209||Vance Gerry|||2005-01-01|1929-01-01||||writer,animation_department,art_department|
210||Mike Connors|||2017-01-01|1925-01-01||||actor,producer,miscellaneous|
211||Palmer Thompson|||1969-01-01|1918-01-01||||writer,producer,actor|
212||Peter Hansen|||2017-01-01|1921-01-01||||actor|
213|Blockhouse Breakdown||6|1||||1973-01-01|Crime,Drama||60
214||Shin Onuma||||||||director,art_department,animation_department|
215||Ty|||||||||
216|Week-End in Winnetka||2|3||||1955-01-01|Drama||30
217|Finnegan's Wake||21|6||||1998-01-01|Crime,Drama,Mystery||
218||Eline Farideh Koning||||||||writer|
219||Spela Rozin||||1943-01-01||||actress|
220||James Barton|||1962-01-01|1890-01-01||||actor,soundtrack,writer|
221|Affirmative Action||9|1||||2000-01-01|Comedy||30
222||Scott Boyd||||||||editor,producer,editorial_department|
223|Time and Place Unknown: Part 1||11|1||||1974-01-01|Crime,Drama||60
224||Michelyn Emelle||||||||actress|
225||Elizabeth Shepherd||||1936-01-01||||actress|
226||Tony Musante|||2013-01-01|1936-01-01||||actor,writer|
227|The Freak Book||5|6||||2007-01-01|Comedy||29
228|Alligator Farmer||5|2||||2006-01-01|Reality-TV||43
229||Jenny Eclair||||1960-01-01||||actress,writer|
230||Doris Gilbert|||1993-01-01|1914-01-01||||writer|
231||Steve Givens||||||||composer|
232||Albina Matveyeva|||2016-01-01|1939-01-01||||actress|
233||Alan Dinehart|||1992-01-01|1918-01-01||||actor,miscellaneous,producer|
