id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country
0||Ola Forssmed||||||||||||
1||Rikiya Koyama||||||||||||
2|Hate Crimes||Pembleton and Bayliss investigate a murder that was committed in a gay neighborhood by skinheads and the victim's sexual preference is questioned. Brodie is hired by the department to videotape the detectives' crime scenes. A voice stress analyzer is brought in for a demonstration. Meldrick gets a lead and closes an old Crosetti case that even Howard couldn't crack; it causes a little tension between them.|5.0|4.0||||1995-11-17||1995-01-01|||
3||William Aldridge||||||||||||
4|Windfall|||20.0|5.0||||1958-03-16||1958-01-01|||
5||John Clive||||||||||||
6||Kevin Molloy||||||||||||
7|Royal Partners: Part 1|||33.0|4.0||||1957-05-19||1957-01-01|||
8|Hyde and Go Shriek||'Wendell the nerd never wanted any trouble. In fact, he did everything he could to fit in and earn the respect of tough jock Rex Reavis and his friends, including dismissing all their cruel practical jokes with a shrug and a laugh.    |8.0|1.0||||1993-11-06||1993-01-01|||
9|Episode 7||A body on the moors leads Janet and Chris to a shocking discovery. While Rachel and Janet harbour concerns about Gill's behaviour, their own actions come under investigation.|7.0|4.0||||2014-10-22||2014-01-01|||
10||The Weinstein Company||||||||||||US
11||Ronald Wilson||||||||||||
12||Barry Gifford||||||||||||
13||Hans Brausewetter||||||||||||
14|You Only Live Once, YOLO!||Seeing the great view of Victoria Falls, the four young actors recall their memories for the last 11 days in Africa and they become emotional. They go rafting on the Zambezi River and enjoy one of the most thrilling experiences in their lives. Jun Yeol and Bo Gum move to do a bungee jump while the others give up.|6.0|4.0||||2016-03-25||2016-01-01|||
15||Don Letts||||||||||||
16|Princess||To save Kahlan from execution, reluctant Cara must pose as a polished princess and compete in an elaborate masquerade of manners to win a powerful ruler's affections.|13.0|2.0||||2010-02-27||2010-01-01|||
17|Episode 7||John Parr gets his revenge against Chef by kidnapping his son, while the police start to piece together the facts about Simone's murder. Danny is thrown out by the Quinlans when he tells them he will be a witness on behalf of Lucy Archer, against Tony Quinlan and his two co-defendants. Mrs Archer is upset about the backlash that has resulted from her daughter's allegations. Bernie tells Father Matthew about her pregnancy.|7.0|2.0||||1999-02-21||1999-01-01|||
18||Vyara Kovacheva||||||||||||
19|C-H-O-CHOIR||It’s Christmas time at the DiMeos, and Maya surprises everyone by embracing a newfound holiday spirit. But her view is put to the test when the family van is stolen, along with all their holiday gifts. Worrying he won’t get into college, Ray joins the choir and gets a coveted solo. But when a very attractive new teacher is hired, JJ decides to join his brother and takes Ray’s solo.|10.0|1.0||||2016-12-14||2016-01-01|||
20|One Little Pearl|||8.0|2.0||||1960-11-28||1960-01-01|||
21||Lars Mikkelsen||||||||||||
22|The Invisible Hand of Fate||Billy Quizboy recovers the memories of his former life as a failed TV Quizboy, the loss of his hand and eye in a dogfight, his recruitment into the OSI, and his first mission as a spy.|3.0|3.0||||2008-06-15||2008-01-01|||
23||Neil Dickson||||||||||||
24||Grisha Ostrovski||||||||||||
25|Episode 4|||4.0|1.0||||1994-02-07||1994-01-01|||
26|Episode 9|||9.0|3.0||||2019-06-08||2019-01-01|||
27||Edward Tang||||||||||||
28||Tony Roberts||||||||||||
29|Running with the Bulls||Larry’s therapist accuses him of overstepping. Susie grows suspicious of Jeff. Larry bribes an usher at a funeral.|4.0|9.0||||2017-10-22||2017-01-01|||
30||Mary Houlihan||||||||||||
31|Episode 17||As the merger of Shinhwa group and JK group begins, Junpyo and Jaekyung go out on their first date. However, Junpyo reminds of Jandi every place Jaekyung wants to go. Jaekyung senses it and asks Junpyo to kiss her as the lover. Jihoo and Jandi see this while they are talking on the stairway… Yijung witnesses his father with a woman at his workroom and has a big argument. Suffering deeply, Yijung thinks of Eunjae, his first love. Gaeul signs up for the pottery class and meets Cha Eunjae, the student teacher, in there.|17.0|1.0||||2009-03-03||2009-01-01|||
32||Jerome Hairston||||||||||||
33||Kenny Monger||||||||||||
34||Nobuyoshi Nagayama||||||||||||
35|Best Bike in the World||Stan and Violet get Monty a new bike, but Monty is disappointed to learn that this means his first, smaller bike will be passed on to someone else who can use it. He wonders why it is that you have to let go of your favourite things when you outgrow them.|14.0|1.0||||2016-07-07||2016-01-01|||
36|Floating Fish Factory||Mike travels to Alaska for an adventure aboard a fish processing ship.|8.0|4.0||||2008-04-21||2008-01-01|||
37|Tightwad Millionaire|||24.0|3.0||||1956-02-19||1956-01-01|||
38||Pierre Davoust||||||||||||
39|Let Columbus Discover You|||31.0|2.0||||1955-04-03||1955-01-01|||
40|The Spear Gun|||3.0|1.0||||1957-10-10||1957-01-01|||
41|A Bride for the Captain|||23.0|3.0||||1962-03-11||1962-01-01|||
42|Leather Tanner||Mike goes to Georgia to learn how to make artistic jugs. He then joins Richard Meyer and his sons in upstate New York to learn the ancient trade of tanning leather.|11.0|3.0||||2007-07-17||2007-01-01|||
43||Miles Mander||||||||||||
44||Michael Lai Siu-Tin||||||||||||
45||Barbara Kopple||||||||||||
46|Ede's Bombshell|||25.0|2.0||||1962-03-26||1962-01-01|||
47||Jordi Bosch||||||||||||
48||Sylvia Pyke||||||||||||
49|Father Hoppe|||26.0|3.0||||1956-03-04||1956-01-01|||
50||John L'Ecuyer||||||||||||
51|Our Sacred Honor|||13.0|2.0||||1954-11-28||1954-01-01|||
52||John Hughes||||||||||||
53|The Price||Based on a novel by Jun Ioka, the Hulu series follows the relationship between Keisuke Okuyama, a brilliant attorney and his troubling client Tatsuya Ando who tormented and robbed him of his family in the past.|||1.0|6.0||2016-11-18|2016-11-18|2016-01-01||Drama|JP
54|Eukaryopolis - The City of Animal Cells||Hank tells us about the city of Eukaryopolis - the animal cell that is responsible for all the cool things that happen in our bodies.|4.0|1.0||||2012-02-20||2012-01-01|||
55||Kane Gilliam||||||||||||
56|From Phuket to Africa!||Producer Na Young Seok goes to Phuket where the cast of “Reply 1988” is having a celebratory vacation. And he makes a prank on Jun Yeol, Jae Hong and Kyung Pyo and takes them to Africa to shoot “Youth Over Flowers in Africa”. Bo Gum who had to return from the vacation to Korea for a music show filming also joins the trip. The young actors manage to arrive in Namibia with few clothes, and they need to deal with many things from booking hotels, hiring a car, exchanging money to planning their journey.|1.0|4.0||||2016-02-19||2016-01-01|||
57|Dark||Richard learns to use his wizard powers by the Sisters of the Light, while Zedd must name a new Seeker when Sister Nicci reveals a shocking secret.|9.0|2.0||||2010-01-23||2010-01-01|||
58||Clayton H. Baker||||||||||||
59||Bernard Grenet||||||||||||
60|La Paliza de el Metido|||21.0|6.0||||1999-05-27||1999-01-01|||
61|The Intruders|||2.0|2.0||||1960-10-10||1960-01-01|||
62||Jessie Nelson||||||||||||
63||Tom Bullock||||||||||||
64|The Adventures of the Good Soldier Schwejk||'Die Abenteuer des braven Soldaten Schwejk is an Austrian television series.Schwejk is a bumbling fool (he claims to have been discharged from the army on the grounds of being a certified idiot) but manages to outwit his superiors and his arch nemesis, the secret policeman ''Bretschneider'' with hilarious results. Set during the first world war, it follow Schwejks adventures as a recruit in the Austro-Hungarian army.|||1.0|13.0||1972-02-06|1972-03-20|1972-01-01|60|Comedy|DE, AT
65|The Calf|||20.0|1.0||||1961-01-29||1961-01-01|||
66||Santi Ricart||||||||||||
67|Episode 12||Jeha kidnaps Jandi and Junpyo goes to rescue her alone. Jeha and his friends beat Junpyo, but Junpyo bears it. F4 members get into the scene, finish off the situation. When Jeha tries to hit Junpyo again, Jandi protects him. The two are hospitalized, but find out the feeling for each other again. The friends go on a ski trip together, and Junpyo gives Jandi a custom-made necklace. However, Jandi accidently loses it and braves the snowstorm to look for it.|12.0|1.0||||2009-02-10||2009-01-01|||
68|Suruga Monkey (3)||Koyomi takes Suruga to see Oshino in order to help her. However, the help he offers isn't the help Koyomi wanted...|8.0|1.0||||2009-08-28||2009-01-01|||
69||Gina Chen Jin||||||||||||
70||Tae Hang-ho||||||||||||
71|U-N– UNFORGETTABLE P-A– PAIN||Ray is miserable after breaking up with Taylor. When Maya cheers him up with a day out, Ray has a plan of his own. Meanwhile, JJ is nervous about his first friend date with Aaron, so Dylan offers to make sure everything goes smoothly; however, it’s everything but smooth. And Kenneth teaches Jimmy how to be the one in charge at home.|15.0|2.0||||2018-03-07||2018-01-01|||
72|Something Always Happens|||35.0|1.0||||1954-05-23||1954-01-01|||
73||Sayid||||||||||||
74||Lila Lakshmanan||||||||||||
75||Mel Mendoza-Del Rosario||||||||||||
76|The Hero||Larry plays the hero in the sky and underground; Jeff’s courtship of Ricky Gervais is sabotaged by a nosy waiter.|6.0|8.0||||2011-08-14||2011-01-01|||
77|Gekashitsu||Melodrama about a woman refusing surgery.||||||1992-02-08||1992-01-01|50|Drama|
78|The Trial of Adam Troy||After a murder on the Tiki occurs, Adam is wrongfully accused of the crime and the passengers are asked for their testimonies at his trial.|11.0|3.0||||1961-12-17||1961-01-01|||
79|Wine Maker||Mike first heads off to Napa Valley to learn how to make wine. Mike then gets dirty at a Kansas Cattle Ranch learning about the cattle business.|7.0|3.0||||2007-03-06||2007-01-01|||
