id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/job
0|The Paparazzo Affair||Strange things have been happening, first Duc was chased by two crooks to the Sensa News, then the crooks try to take Duc from Sensa News. Fortunately, Ace was there to save him. However when they go back to the Magic Express, they been rocked by grenades. What's worse is the Magic Express is in fire. The Express goes away, until comes to a cliff, the Express falls into the ocean. Luckily, the Express can still operate underwater. Yet, Duc complains to Ace about him being crazy, but Ace confronts Duc. Duc shows Ace a CD video about a new director in the St. Paul Hospital name John Wosh. However, John Wosh isn't really who he is, his real name is Paul Kelly and was arrested for illegal chemical experiments. Duc gets to the hospital headfirst, only to be taken away. Ace and Cosmo arrive there, they learn that the secret of the hospital is to treat people with a new virus then give a medication for a high price. Ace saves Duc who was about to be thrown in boiling liquid. They find Wosh an|1.0|2.0||
1|The Assassination of John Newman||'John Paul Newman was a member of the New South Wales state parliament and Member of the seat of Cabramatta. He was the first politician to be assassinated in Australia.For many years Newman had been waging a campaign to break up the Asian crime gangs and corruption that had plagued the area. He had been the target of numerous death threats from such gangs but did not seek police protection. During the night of September 5, 1994 while outside his Woods Avenue home, he was shot and killed. His fianc?e, Lucy Wang, was with him at the time but saw little of what happened because of the swiftness of the murder.A local nightclub owner, Phuong Ngo, who had previously attempted to secure Labor Party pre-selection for the seat, was convicted of the killing in 2001. Two of Ngo's associates escaped convictions. In 2003, an appeal by Ngo against the conviction failed.|15.0|1.0|2005-08-01|
2||Debbie McLeod|||||guestStars
3||Henry Bromell|||||directors
4||Noah Plener|||||guestStars
5||Frank Whaley|||||guestStars
6||Jill Danson|||||guestStars
7|Chapter 20||Despite some friction, the Walkers deepen their friendship with the Underwoods. But it's all-out war between Francis and Tusk.|7.0|2.0|2014-02-14|
8||Sean Whitesell|||||writers
9||Steven Marcus|||||guestStars
10||John David Coles|||||director
11||Tom Gries|||||directors
12|Ostrich Farmer||Mike visits a coffee plantation in Hawaii and learns about the long process in how to make coffee, from picking the beans to roasting them.  Mike then goes to Sausalito, CA to be a marine mammal rescuer and help rehabilitate some injured seals.Finally, Mike learns about ostrich farming, from their daily upkeep to collecting their eggs.|8.0|1.0|2005-10-04|
13||Tom Amandes|||||guestStars
14||Garth Maxwell|||||director
15||Mike Smith|||||director
16||Carolyn McCormick|||||guestStars
17||Alan Hale Jr.|||||guestStars
18||Na Young Seok|||||directors
19||Christopher McCulloch|||||guestStars
20||Robert B. Weide|||||directors
21||Eric Lucas|||||guestStars
22||Josef Leytes|||||directors
23|Yotsugi Doll - Part 4||Koyomi and Yotsugi land at the base of the mountain, where they are surprisingly met by Ougi Oshino. She talks with Koyomi for a while about his current situation and his upcoming confrontation with Teori. Koyomi and Yotsugi begin their journey up the mountain. The two discuss how they will be able to rescue Koyomi's sisters and Suruga. Koyomi hopes that they'll be able to sneak past Teori and get them without him noticing, but Yotsugi is doubtful of that plan. She expects that Koyomi will have to convince Teori to let them go, as this is how Koyomi normally deals with his opponents. Yotsugi then briefly explains how she was created. Back during their college days, Yozuru, Teori, Meme, and Deishu Kaiki did a project to create and artificial shikigami from the corpse of a human, under the direction of Izuko. Yozuru and Teori both fought for 'ownership' of Yotsugi, but in the end, Yotsugi chose to stay with Yozuru. This led to a falling out between Yozuru and Teori. Yotsugi discloses that the reason she is telling Koyomi this is because, if things were dire, he could choose to hand over Yotsugi to Teori in order to resolve the situation. Koyomi refuses to consider the option. He instead instructs Yotsugi to find the hostages, and use her power to immediately get away, while he distracts Teori. Yotsugi points out that if she were to leave, Koyomi and Shinobu would be left helpless before Teori. Yotsugi halfheartedly suggests offering Shinobu to Teori, which Koyomi refuses. Yotsugi points out that Koyomi's desire to have the hostages rescued while not being willing to give up either Yotsugi, Shinobu, or himself shows a lack of maturity. She then suggests that if she were to get close enough to Teori, she could use her powers to kill him before he has a chance to react. Koyomi is shocked at the suggestion. He wants to preserve what humanity is left in Yotsugi, and if she were to kill Teori, she would lose it. The two reach the shrine, and observe Teori. He is sitting on the offertory box, folding origami. Koyomi realizes that he is counting time with that: once the box is full of origami, time is up. Koyomi decides to use his simple decoy plan, and Yotsugi leaves to sneak in through the rear of the shrine. As Koyomi is preparing to confront Teori, Shinobu appears from his shadow. She tells him that she doesn't care if he is no longer human, so if Koyomi is about to die, she'll turn him into a full vampire. Koyomi then confronts Teori. Teori reveals that both he and Yozuru have a curse upon them that prevents them from walking on the ground. He then says that his reason for kidnapping those close to Koyomi was so that he could kill Koyomi. However, Teori is perplexed at the situation. He knows that he is there to kill Koyomi, but why him? On paper it seems like Teori is the best person to oppose Koyomi, almost as if he were cast for the role. He can't help but feel that someone else has manipulated events so that it would turn out to be him fighting Koyomi. While this conversation is taking place, Yotsugi is shown searching the shrine for the hostages. Koyomi is angered by Teori's musings on the situation, but Teori points out that Koyomi's anger merely fits the role that he had been cast. The two of them are following their scripts. He tells Koyomi to find Meme, as he is the one who could bring balance outside of the casting or script. Koyomi replies that he has searched, and asks Teori if he knows where Meme is. Teori replies that he does not. Teori drops a final origami into the offertory box, and it fills up. Teori gets ready to fight Koyomi, stating that he's sick of being manipulated and used like a pawn. Teori then appears to be talking to someone other than Koyomi. It is revealed to be Yotsugi, who appears in front of Teori. Yotsugi uses her powers and kills Teori. Koyomi is shocked. Yotsugi reassures him that he had nothing to do with her decision. Even if there were a way to save everyone, she decided to do it because she is a monster, in her own words. She tells Koyomi to not end up like her. Karen, Tsukihi, and Suruga are found in the offertory box, and are taken back to Suruga's house. Taking an external view of things, Koyomi realizes that the point of this incident was to create a rift between him and Yotsugi. He was disgusted by her actions. Later, Koyomi visits Hitagi Senjougahara's house, who surprises him with chocolates. He remembers that today is Valentine's Day. Koyomi and Hitagi discuss the previous day's events and what they mean for his future. Hitagi surmises that things are fine for now, and that worrying too much about the future isn't all that great. He should just focus on living his life. After returning home, Koyomi enters his sister's room and finds Yotsugi sitting on Tsukihi's bed. Yotsugi explains that she was won by Tsukihi in the same claw game that Koyomi played the previous night, though Tsukihi needed only three attempts to get her. She goes on to say that both Yozuru and Izuko realized that the point of the previous day's incident was to create a rift in between Koyomi and Yotsugi, and as such, they should oppose whatever party that is causing these incidents. Therefore, until balance is achieved in the town, Yotsugi will be living in the Araragi household, which will serve to help Koyomi and Yotsugi reconcile. |18.0|0.0|2014-12-31|
24||Nick Gomez|||||director
25||Rick Marshall|||||director
26||Jessica Marais|||||guestStars
27||Daniel Baldwin|||||actor
28||Martin Witz|||||directors
29|The Challenge||D.J. Mickus was about to leave the DNA Club to go home for the night when he runs into an army of six-legged robots. He becomes the latest contestant in a manical game show, and he gets push off for not answering a question. Ace, Cosmo, and Vega go to the hospital to try to figure what really happen. Cosmo then, explains about the game show interrupting regular progamming and how the same commericals appear. Ace suddenly gets a phone call from the show's host saying a poetry clue on who will be the next victim. They figure it was Zelda Cosmo's friend. Zelda had a problem herself because her motorcycle makes it 240 miles per hour, but Ace and Cosmo saved her. Back at the Magic Express, Ace, Cosmo, and Vega learn who is behind all this and the game's host: Patrick Shoemaker. Ace started his own show and according to Angel, Shoemaker blamed Ace for the fall from fame. Shoemaker then calls Ace and challenges him to play as a contestant in order to guess the next victim. With no choice Ace|9.0|1.0|1999-04-24|
30||Larry David|||||writers
31||Peter Barry|||||writers
32|It's Not A Reunion Show But It's The Closest You're Gonna Get||A behind the scenes look at a cast reunion for Seinfeld cast members Jerry Seinfeld, Louis-Dreyfus, Jason Alexander and Michael Richards to start off season seven of Curb Your Enthusiasm. |11.0|0.0|2009-09-08|
33||Nguyen-Tu Tucker|||||guestStars
34||Salim Akil|||||directors
35||Malik Bendjelloul|||||directors
36||Barbara Steele|||||guestStars
37|Chapter 29||The Russian president's state visit becomes a cold war of wills, and some punks heat things up.|3.0|3.0|2015-02-27|
38|Shinobu Mail - Part 1||Koyomi Araragi waits in the ruins of the cram school to ask Suruga Kanbaru for help, a request he hopes she will refuse.|7.0|4.0|2015-11-15|
39||Isabella Hofmann|||||guestStars
40||Jennifer Courtney|||||guestStars
41||J.D. Evermore|||||guestStars
42||Viveca Lindfors|||||guestStars
43||Kulvinder Ghir|||||actor
44||Zden?k Kry??nek|||||actor
45||Ellen Gittelsohn|||||directors
46||Rob Cohen|||||directors
48||Loren Marsteller|||||guestStars
49||Allan Rich|||||guestStars
50||Tony Lo Bianco|||||guestStars
51|20 Years to Midnight||In the middle of spring cleaning, Brock's discovery of a lost videotape from Jonas Venture Sr. sets Team Venture off on a global scavenger hunt for the hidden pieces of a fantastic and potentially deadly machine.  But to save humanity from a terrible fate, they'll have to overcome death, drug addiction, Jonny Quest and Professor Impossible - all under the watchful eye of the mysterious Grand Galactic Inquisitor.|5.0|2.0|2006-08-06|
52||Anya Adams|||||director
53||Gareth Carrivick|||||director
54||James Yoshimura|||||writers
55||Cary Fukunaga|||||directors
56||Ming Lo|||||guestStars
57||Karen Williams|||||guestStars
58|Episode 22|||22.0|2.0|2017-09-13|
59||Jennifer Caldwell|||||guestStars
60||Felix Feist|||||director
61||Ian McKellen|||||actor
62||Michael Jaffe|||||directors
63|Seinfeld||Not tipping for a favor gets Larry into bad graces with the studio lot's coffee guy, while Julia Louis-Dreyfus accuses him of leaving a ring on an antique table in her house. Meanwhile, he deals with the suspicion that their closeness during production of the Seinfeld reunion has led to Cheryl sleeping with Jason Alexander.|10.0|7.0|2009-11-22|
64||Danny Chun|||||writers
65||Yaphet Kotto|||||actor
66|Cold Sweat (2)||Last time on The Magician, Ace was traped in the cryogenic chamber because Gus's revenge. Cosmo and Dr. Charles opened the chamber Ace is in but his body slowly breaks up into pieces as Cosmo touches it. But that Ace was a phoney because the real Ace just showed up. Gus Moreland's condition is dangerously critical and he apologizes Ace for his rude attitude and wants to know the whole truth. Ace tells him what happen the day they try to steal the money from a sciece company. Ace then explains about Jac Malone and how he said Gus is out of the gang and lied to Ace that Gus can get out there himself. Gus gets real mad at Jack or in other words, Black Jack. So now he's going after his family to avenge Black Jack. Ace gets in the way when the Cryogenic Center collapsed. Ace survives and Cosmo and Vega goes to Croesus Palace to keep an eye on Black Jack while Ace goes to Mona's house to warn her not leave her home for her life is now in danger. Gus arrives at the Croesus Palace and arranges|22.0|1.0|1999-07-10|
