id|title|modelno|price|shipweight|brand|dimensions
0|Koss EQ50 3-Band Stereo Equalizer|152132|12.65|1|Koss|7.6 x 4.8 x 1.4 inches
1|Kodak Black Ink Cartridge 10B 1163641|1163641|10.28|1|Kodak|5.3 x 3.2 x 1.2 inches
2|Kingston 128MX64 PC2700 COMPAQ Evo D320 KTC-D320 1G|KTC-D320/1G|33.75|1|Kingston|6.8 x 2.2 x 0.5 inches
3|Kinamax MS-UES2 Mini High Precision USB 3-Button 3D Optical Scroll Wheel Mouse with Retractable Cable Black|MS-UES2|6.99|1|Kinamax|4.3 x 2.8 x 1.3 inches
4|Kensington K72349US Wireless Mouse for Netbooks|K72349US|24|1|Kensington|4.1 x 3.2 x 1.5 inches
5|Kensington BlackBelt Protection Band for iPad 2 K39324US|K39324US|23.92|1|Kensington|11.4 x 7.6 x 0.9 inches
6|JUST5 J509 Easy to Use Unlocked Cell Phone with Big Buttons Amplified Sound Personal Emergency Response System Black|J509black|64.11|1|JUST5|4.0 x 2.0 x 0.6 inches
7|Imation Corp 50PK CDR 700MB 80MIN 52X-SPINDLE 17301|17301|10.29|2|Imation|5.5 x 5.5 x 3.6 inches
8|16x DVD-R Media|17340|6.99|1.1|Imation|5.5 x 5.5 x 2.2 inches
9|iGo Arctic Laptop Cooling Pad AC05065-0001|AC05065-0001|29.99|2|iGo|12.8 x 11.0 x 1.4 inches
10|HP TouchPad Custom Fit Case|FB343AA#AC3|25.04|1|HP|9.8 x 7.8 x 1.1 inches
11|HP LaserJet Pro P1606dn Printer CE749A BGJ|CE749A#BGJ|142.99|19.8|HP|15.2 x 11.2 x 9.7 inches
12|HP 85A LaserJet Black Toner Print Cartridge - Retail Packaging CE285A|CE285A||2|HP|14.8 x 4.9 x 4.4 inches
13|HP - Envelope feeder - 75 sheets|CB524A|267.24|5|HP|16.8 x 13.0 x 8.2 inches
14|Hawking Hi-Gain Outdoor Wireless-300N Dual Radio Smart Repeater|HOW2R1|270.99|5|Hawking Technology|11.2 x 10.0 x 3.8 inches
15|Griffin Technology PowerJolt SE 2 amp Power Charger for iPad iPhone and iPod Black|GC23090|14.26|1|Griffin Technology|7.1 x 5.0 x 1.2 inches
16|Goldtouch USB Numeric Keypad Hub - Keypad - USB - 22 keys - white|GTC-0033|37.92|12|Goldtouch|6.5 x 5.8 x 1.8 inches
17|Garmin Oregon 450t Handheld GPS Navigator|010-00697-41|399.86|1|Garmin|4.5 x 2.3 x 1.4 inches
18|Fujitsu ScanSnap S1500M Instant PDF Sheet-Fed Scanner for the Macintosh|PA03586-B105|418.99|10|Fujitsu|11.5 x 6.3 x 6.2 inches
