id|title|modelno|price|shipweight|brand|dimensions
0|Draper Infrared Remote Transmitter|121066|58.45|2.0|Draper|
1|Epson 1500 Hours 200W UHE Projector Lamp ELPLP12|ELPLP12|438.84|0.95|Epson|6.75 x 5.75 x 5.5 inches
2|Comprehensive Two-Piece 75 Precision BNC Jack for RG-59 Set of 25|BJ-2C7559|59.25|0.05|Comprehensive|
3|D-Link DCS-1100 Network Camera|DCS-1100|99.82||D-Link|
4|StarTech.com RKPW247015 24 Outlet Power Strip|RKPW247015|59.0|5.25|StarTech|72.5 x 2.5 x 1.5 inches
5|3M FR530CB Ergonomic Adjustable Footrest|FR530CB|67.88|10.5|3M|21.6 x 13.5 x 4.05 inches
6|HP C6020B Coated Paper 1 roll 36-inches x 150 ft|C6020B|49.88|9.78|HP|33.98 x 3.83 x 3.83 inches
7|Visioneer RW120-WU RoadWarrior Sheetfed Scanner|RW120-WU|199.98|1.85|Visioneer|11.4 x 2.0 x 1.5 inches
8|Brother DK2113 QL Label Printers Continuous Length Tape|DK2113|64.88|0.55|Brother|4.5 x 4.5 x 3.6 inches
9|3M MW310LE Gel Mouse Pad|MW310LE|17.88|0.95|3M|9.63 x 7.65 x 0.36 inches
10|LaCie Formoa 15  MacBook Carrying Case Black|130935|15.0|1.3|LaCie|16.1 x 11.5 x 0.9 inches
11|Draper High Contrast Grey Targa Electric Screen  - WideScreen 182 diagonal|116263|1730.95|100.0|Draper|
12|Draper AT1200 Access MultiView Series E Acoustically Transparent Screen - 106 diagonal HDTV to NTSC Format|106018|4375.95|96.0|Draper|
13|Stanley 500 Watt Power Inverter|PC509|34.88|2.6|Stanley|9.75 x 5.0 x 2.25 inches
14|Gear Head Quick 1.3MP Webcam with Night Vision Red Black|WC1200RED|15.98|1.5|Gear Head|7.2 x 4.4 x 3.5 inches
15|Avery Self-Adhesive Filing Labels 1 3 Cut 3-7 16 x 2 3 Clear 450 Pack|5029|21.47|0.412|Avery|
16|XFX Radeon HD6850 PCIE 1GB DDR5 Graphics Card|HD685XZNDC|195.0|1.08|XFX|32.4 x 16.4 x 10.0 inches
17|SKB Cases PH Series Pull Handle Case 11 1 2 H x 21 5 8 W x 16 3 8 D outside|3SKB-1914MR|214.99|14.0|SKB Cases|19.0 x 14.0 x 10.0 inches
18|Innovera CD DVD Pocket with Built-In Label Tab Clear 25 Pack|39701|5.28|0.386|INNOVERA|
19|HP 80 Ink Printhead Printhead Cleaner Black C4890A|C4890A|268.79|1.79|HP|
20|Mead Spiral Bound Notebook College Rule|6622|3.88|0.837|Mead|
21|IOGEAR 2-Port MiniView Micro USB PLUS KVM Switch|GCS632UW6|37.57|1.15|IOGEAR|10.0 x 7.0 x 3.0 inches
22|Quartet Cork Bulletin Board Natural Cork Fiberboard 60 x 36 Aluminum Frame|2305|91.44|16.16|Quartet|
23|Avery Shipping Labels for Color Laser   Copier 3-3 4 x 4-3 4 Matte White 100 Pack||16.67||Avery|
24|Aluratek Deluxe Leather Travel Case for the Libre eBook Reader Pro|2782753|23.1|0.5|Aluratek|6.25 x 4.75 x 1.0 inches
25|HP CE278A Black LaserJet Print Cartridge|HP CE278A|69.84|1.8|HP|1.0 x 1.0 x 1.0 inches
26|Cyber Power PFC 1000VA LCD Sinewave Adaptive Intelligent UPS|CP1000PFCLCD|151.0|19.15|CyberPower|13.5 x 11.2 x 6.3 inches
27|Tribeca Dallas Cowboys 15  Sleeve for MacBook Pros|FVA2868|31.88|0.85|Tribeca|15.88 x 12.6 x 1.13 inches
28|Tablemate Plastic Dinnerware 6 Inch Plates 125pk|6644WH|18.97|1.859||6.0 x 6.0 x 5.7 inches
29|Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure|NST-400MX-S2|49.71|5.0|Vantec|10.0 x 7.0 x 6.0 inches
30|Fujifilm Instax Mini Twin Pack Film|Mini Film 2pk|20.28|0.15|Fuji|3.0 x 2.0 x 1.77 inches
31|Chicago Bears Camera Case|FVA2782|19.99||Tribeca|
32|Da-Lite Da-Mat Deluxe Fast Fold Complete Front Projection Screen - 68 x 68|88604|829.99|64.0|Da-Lite|
33|Sunpak 72-In-One Card Reader with SIM Slot|72-IN-1-CR|0.0||Sunpak|6.75 x 4.75 x 0.75 inches
34|HP 45 Black Inkjet Cartridge 51645A|51645A|35.78|0.4|HP|4.0 x 4.0 x 2.0 inches
35|TomTom XXL 550|1EP001901|169.95|1.1|TomTom|7.0 x 7.0 x 1.8 inches
36|iLuv Desktop Alarm Clock with Bed Shaker for your iPhone iPod - Pink|IMM153PNK|54.88|6.5|iLuv|6.0 x 4.25 x 3.5 inches
37|rooCASE Multi-Angle Folio Leather Case   Stylus for Acer Iconia Tab A500|222043|47.99|1.0|rooCASE|10.2 x 7.2 x 1.1 inches
38|Peerless SmartMount Universal Tilt Mount 32 - 60 Screens|ST660-S|112.99|11.0|Peerless|34.1 x 18.5 x 2.6 inches
39|Iomega 34508 DVR Expander Hard Drive|34508|99.98|2.9|Iomega|7.82 x 4.75 x 1.22 inches
40|Da-Lite 93163 Model B Manual Wall and Ceiling Projection Screen|93163|149.88|24.0|Da-Lite|83.7 x 4.5 x 4.5 inches
41|Kingston KTD-DM8400A 1G 1GB DDR2 SDRAM Memory Module|KTD-DM8400A/1G|22.92|0.05|Kingston|4.77 x 1.71 x 0.45 inches
42|Sony MDREX35LP VB Colorful Headphone with Case - Violet Blue|MDREX35LP/VB|13.54|0.05|Sony|7.25 x 2.0 x 1.25 inches
43|SIIG SoundWave 5.1 Channel PCI Sound Card|IC-510012-S2|19.84|0.45|SIIG|9.0 x 7.0 x 2.25 inches
44|Draper M1300 Access Series V Electric Screen  - HDTV 119 diagonal|102300|2107.95|103.0|Draper|
45|Draper Flexible Matte White Cinefold Replacement Surface Portable Screen - 10 6 x 14 NTSC Format|218033|615.0|13.0|Draper|
46|Read Right KeyboardKleen Kit 2.5 oz. Pump Spray||12.88||READ RIGHT|
47|Quartet Ultima Presentation Dry Erase Easel Melamine 27 x 34 White Black Frame|101EL|233.05|28.0|Quartet|
48|DP Video 7  Touchscreen Double Din In-Dash Multimedia Receiver DBD805|DBD805|199.99|10.0|DP Video|7.25 x 7.25 x 4.5 inches
49|Targus Impax Sleeve for 15  MacBook Pro Red|TSS28802US|35.0|0.85|Targus|14.7 x 10.2 x 1.6 inches
50|Avery Economy Vinyl Round Ring View Binder|5706|7.91|0.62|Avery|
51|Wilson Jones D-Ring Vinyl View Binder|38544B|16.4|1.177|Wilson Jones|
52|Link Depot 3 Ethernet Enhanced CAT6 Networking Cable Gray|C6M-3-GYB|2.98|0.3|Link Depot|9.0 x 4.0 x 0.5 inches
