Entity Id|address|author|editor|institution|month|note|pages|publisher|title|venue|volume|year|
0|los alamitos, ca:|p. auer, n. cesa-bianchi, y. freund, and r. e. schapire,|||||pp. 322-331.|ieee computer society press,|'gambling in a rigged casino: the adversarial multi-armed bandit problem,'|in proc. 36th annual symposium on foundations of computer science,||1995,|
1||a. blum, m. furst, m. j. kearns, and richard j. lipton.|||||pages 24.1-24.10,||cryptographic primitives based on hard learning problems.|in pre-proceedings of crypto '93,||1993.|
2||avrim blum, merrick furst, michael kearns, and richard j. lipton.|||||pages 24.1-24.10,||cryptographic primitives based on hard learning problems.|in pre-proceedings of crypto '93,||1993.|
3||avrim blum, merrick furst, michael kearns, and richard j. lipton.|in douglas r. stinson, editor,|||lecture notes in computer science no. 773.|pages 278-291.|springer,|cryptographic primitives based on hard learning problems.|proc. crypto 93,||1994.|
4||a. blum, m. furst, m. kearns, r. lipton.|||||||cryptographic primitives based on hard learning problems.|crypto,||1993.|
5||blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.|||||pp. 253-262.||weakly learning dnf and characterizing statistical query learning using fourier analysis.|proceedings of the 26th annual acm symposium on theory of computing,||(1994).|
6|montreal, canada.|blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.|||||(pp. 253-262),|acm press.|weakly learning dnf and characterizing statistical query learning using fourier analysis.|in proceedings of the twenty-sixth annual acm symposium on theory of computing,||(1994).|
7|new york, ny,|blum a., furst m., jackson j., kearns m., mansour y., and rudich s.||||||acm press,|weakly learning dnf 10 and characterizing statistical query learning using fourier analysis.|in proc. 26th annu. acm sympos. theory comput.||1994.|
8|new york, ny,|a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.||||||acm press,|weakly learning dnf and characterizing statistical query learning using fourier analysis.|in proceedings of the 26th acm symposium on the theory of computing.||1994.|
9||avrim blum, merrick furst, jeffrey jackson, michael kearns, yishay mansour, and steven rudich.|||||pages 253 - 262,||weakly learning dnf and characterizing statistical query learning using fourier analysis.|in t he 26 th annual acm symposium on t heory of computing,||1994.|
10||avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.|||may||||weakly 8 learning dnf and characterizing statistical query learn-ing using fourier analysis.|in proceedings of the 26 th annual acm symposium on the theory of computing,||1994.|
11||avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.|||may||||weakly learning dnf and characterizing statistical query learning using fourier analysis.|in proceedings of the 26 th annual acm symposium on the theory of computing,||1994.|
12||avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.||||to appear.|||weakly learning dnf and characterizing statistical query learning using fourier analysis.|in proceedings of the twenty-sixth annual acm symposium on the theory of computing,||1994.|
13||a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.|||||||weakly learning dnf and characterizing statistical query learning using fourier analysis.|in proceedings of twenty-sixth acm symposium on theory of computing,||1994.|
14||blum, a., m. furst, j. jackson, m. kearns, y. mansour and s. rudich,|||||pp. 253-62,||weakly learning dnf and characterizing statistical query learning using fourier analysis,|proceedings of the 26th annual acm symposium on theory of computing,||1994.|
15||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.|||may||pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
16||n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.|||||pages 382-391,||how to use expert advice.|in annual acm symposium on theory of computing,||1993.|
17||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.|||may||pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
18||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.||||to appear, journal of the association for computing machinery.|pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
19||n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. k. warmuth.||||to appear in journal of the association for computing machinery.|pages 382-391.|morgan kaufmann,|how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
20||cesa-bianchi, n., freund, y., helmbold, d. p., haussler, d., schapire, r. e., & warmuth, m. k.|||||382-391).||how to use expert advice.|proceedings of the annual acm symposium on the theory of computing (pp.||(1993).|
21||cesa-bianchi, n., freund, y., helmbold, d., & haussler, d.||||morgan kaufmann. to appear in journal of the association for computing machinery, schapire and warmuth also on this article but too long.|(pp. 382-391).||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||(1993).|
22||cesa-bianchi, n., freund, y., helmbold, d., haussler, d., schapire, r., and warmuth, m.|||||pages 382-391.||how to use expert advice.|in proceedings of the annual acm symp. on the theory of computing,||(1993).|
23|pages 382-391.|cesa-bianchi, n., y. freund, d. p. helmbold, d. haus-sler, and r. e. schapire a nd m. k. warmuth.|||||||how to use expert advice.|||1995.|
24||n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, m. k. war-muth.|||||||how to use expert advice.|proceedings of the 24th annual acm symposium on theory of computing (stoc).||1993.|
25||n. cesa-bianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, m. k. warmuth.|||||||how to use expert advice.|proceedings of the 24th annual acm symposium on theory of computing (stoc).||1993.|
26||n. cesa-bianchi, y. freund, d. haussler, d.p. helmbold, r.e. schapire, and m. k. warmuth.|||||pages 382-391,||how to use expert advice.|in proceedings of the 25th annual acm symposium on the theory of computing,||1993.|
27||n. cesa-bianchi, y. freund, d. p. helmbold, d. haus-sler, r. e. schapire, and m. k. warmuth.|||||pages 382-391,||how to use expert advice.|in acm symp. on the theory of computing,||1995.|
28||n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.|||||pages 382-391,||how to use expert advice.|in annual acm symposium on theory of computing,||1993.|
29||n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.|||||pages 382-391.||how to use expert advice.|in annual acm symposium on theory of computing,||1993.|
30||nicolo cesa-bianchi, yoav freund, david p. helm-bold, david haussler, robert e. schapire, and man-fred k. warmuth.|||may|submitted to the journal of the acm.|pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
31||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.|||may|submitted to the journal of the acm.|pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
32|san diego, ca, may 1993.|n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.|||||pages 382-391,|acm press.|how to use expert advice.|in proceedings of the twenty fifth annual acm symposium on theory of computing,|||
33||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haus-sler, robert e. schapire, and manfred k. warmuth.||||to appear, journal of the association for computing machinery.|pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
34||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.|||||pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
35|san diego, ca,|n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m.|||may||pages 382-391,||war muth. how to use expert advice.|in proceedings of the eighteenth annual acm symposium on theory of computing,||1993.|
36|new york, ny,|n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.|||||pages 382-391.|acm press,|how to use expert advice.|in proc. 25th annu. acm sympos. theory comput.,||1993.|
37|san diego, ca (1993).|n. cesa-bianchi, y. freund, d.h. helmbold, d. haussler, r.e. schapire, and m.k. warmuth,|||||382-392,||how to use expert advice,|in 25th annual acm symposium on theory of computing,|||
38||n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.|||||||how to use expert advice.|proceedings of the 25th acm symposium on the theory of computation,||1993.|
39||nicolo cesa-bianchi, yoav freund, david p. helm-bold, david haussler, robert e. schapire, and manfred k. warmuth.|||||pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
40||n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.||||to appear, journal of the association for computing machinery.|pages 382391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
41||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.|||||pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
42||nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.||||to appear, journal of the association for computing machinery.|pages 382-391,||how to use expert advice.|in proceedings of the twenty-fifth annual acm symposium on the theory of computing,||1993.|
43||n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.|||||||how to use expert advice.|proceedings of the 25th acm symposium on the theory of computation,||1993.|
44|san diego, ca,|n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. war-muth.|||may||pages 382-391,||how to use expert advice.|in proceedings of the eighteenth annual acm symposium on theory of computing,||1993.|
45|san diego, ca,|n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.|||may||pages 382-391,||how to use expert advice.|in proceedings of the eighteenth annual acm symposium on theory of computing,||1993.|
