artist,category,genre,id,title,tracks,year
backstreet boys,blues,pop,10000,millennium,larger than life i want it that way show me the meaning of being lonely it s gotta be you i need you tonight don t want you back don t wanna lose you now the one back to your heart spanish eyes no one else comes close the perfect fan i ll be there for you ,
various,data,,100001,frankfurt trance vol 04 cd1,dj tom stevens vs fridge outface 2000 radio mix alice deejay better off alone signum remix tillmann uhrmacher feat peter ries bassfly original mix dj 2 l 8 too late time square invisible girl future breeze remix cirillo across the soundline dj leon jam x hold it sean dexter synthetica extended mix dj bjã rn on a mission original mix 8voice music hypnotizes 2000 alex apollo jahr 2000 headroom utopia radio mix ,
no return,data,data,100002,self mutilation,do or die truth and reality lost soul extractor sadistic desire the true way fanatic mind individualistic ideal one life trail of blood sect ,
ã â â ã â ã â ºâ ã â å ,data,pop,100003,ã æ â³ã â žã â âºã â ã â ¹ã â ã â šâ ,ã â ºâ ã â â ã â šå ã â žã â ã â ¹ã â â ã â ã â¼å ã â ã å ã âªã â šâ ã â â ã â ã âªã â žã â â ã å ã â ã å ã â ã å ã â žã â ž ã âµã â šå ã â šã â ž ã â šã â š ã â ã ëœâ ã â âºã å ã â ã â ã â â ã â â½ã â žã â â ã å å¾ã â â ã â ã â ã â šâ ã â žã â â šã â â ã â å ã â å ã ë â ã â å ã â šã âªã å ã â šâ ã â žâ ºã â ã â šâ ¹ã â ã â ã ëœâ ã â²â ã â ,1989
emanuel,data,data,100004,felicidade,felicidade quando o telefone toca vem bailar o tic tic quero que sejas minha e de mais ninguem eu sei que me amas o melhor que hã minha vizinha deixa me a bater mal s joã o ã foliã o sã³ quero o teu carinho tudo farei para ter a tua paixã o serã s sempre minha vem bailar o tic tic verã ã o dance mix ,1998
ã å â ã â ºâ ã â ºâ ºã â â ,data,musical,100005,catsã â â ã â šâªã æ âªã â šâ ã æ å ã æ â ã â½â ã â šâ ã æ â ã â šâ¹ã æ ë ,ã æ â ã æ â ã æ âªã æ â¼ ã â šâªã æ â¼ã æ â ã â šâ ã æ ã æ â ã â šâ ã â šâ ã â šâ ã æ âªã â šâ ã æ â ã â šâ½ã æ â³ã â šâ ã æ ã æ â¼ã æ å ã æ â³ã â šâ ã æ â ã â šâªã æ â ã æ â ã â šâ ã æ â ã æ æ ã æ â ž ã ë â ã å â ã â ã ã â šâ ã â šâ ã æ â ¹ã â šâ ã æ â ¹ã æ â ã æ æ ã æ â ž ã ë â ã å ã â ã â ã â šâ œã å â ã æ â ã æ â ã æ â ã â šâ ã æ â ã æ â ã â šâ ã â šâ ã æ â¼ ã ë â ã â ã â ã â ã â šå ã å â ã â šâ ã æ âªã â šâ ã æ â ã æ â ã ë â ã â â¼ã â â ã å â ã æ ã â šâ¹ã æ ë ã æ â ã â šâ ã æ â¼ã â šâ ã æ â ã æ â¼ã æ â³ã â šâº ã ë â ã â â ã âºâºã â â ã â¼å ã æ å¾ã æ â³ã â šâ ã â šâ ã â šâ ã æ âªã æ â¼ã â ã æ â ã æ â³ã æ å ã æ â ã æ â ã â šâ ã æ â¼ã â šâ ã ë â ã â ã â³â ã â â ã æ â ã æ â ã æ ë ã æ â ã æ å½ã æ å ã æ â¼ ã ë â ã â â ã â ã å â ã â šâ ã â šâ ã æ âªã â šâ ã æ â ã ë å¾ã â ã â¼å ã æ â ã æ â ã æ âªã æ â¼ ,
luv lite massive,data,electronic,100006,one love,temple of dehli from naw till a mornin shock afghani lick you bad freestyle fiki fuko i m here yeah ww5 one love ,
various artists,data,electronic,100007,nop pop 2,golden boy miss kittin rippin kittin norther lite treat me better peaches lovertits mã rtini brã s flash kristall das leben im jetzt slam lifetimes autotune capital killers e man animal skin marc verbos special friend lasse lundmark coca bass flash und gordon frauen in autos dan maxem vs polygen tiefoderhoch green velvet la la land frank mã¼ller vs takkyu ishino ,2002
dmbq,data,rock,100008,dmbq,small hours rock a cola ohh baby teenage limbo little leaf i movement little leaf ii swell little leaf iii etude sayonara no season altered rock can peace migrate to midnight e means eternal data track ,2002
4 p m ,data,acapella,100009,sweet soul,miagetegoran yoruno hoshio woman cherish tears in heaven so much in love christmas eve too much heaven i left my heart in san francisco the lady in my life christmas medley the star spangled banner ,2001
