id,label,author,year,title,type,institution,journal,volume,pages,address,date,booktitle,publisher
0,brodley1992," Brodley, C. E. & Utgoff, P. E. "," (1992), "," Multivariate versus univariate decision trees, "," Tech--nical Report COINS TR 92-8, "," Department of Computer Science, University of Mas-sachusetts,",,,," Amherst, MA, ",,,
1,brodley1992," Brodley, C. E. & Utgoff, P. E. "," (1992), "," Multivariate versus univariate decision trees, "," Technical Report COINS TR 92-8, "," Department of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
2,brodley1992," Brodley, C. E. and Utgoff, P. E. ", (1992). ," Multivariate versus univariate decision trees, "," Technical Report 92-8, "," Department of Computer Science, University of Massachusetts,",,,," Amherst, MA. ",,,
3,brodley1992," Brodley, C. E. and Utgoff, P. E. ", (1992). ," Multivariate versus univariate decision trees, "," Technical Report 92-8, "," Department of Computer Science, University of Massachusetts,",,,," Amherst, MA. ",,,
4,brodley1992," Brodley, C. E. and Utgoff, P. E. ", (1992). ," Multivariate versus univariate decision trees, "," Technical Report 92-8, "," Department of Computer Science, University of Massachusetts,",,,," Amherst, MA. ",,,
5,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). ," Multivariate versus univariate decision trees, "," (Coins Technical Report 92-8), "," University of Massachusetts, Department of Computer and Information Science. ",,,," Amherst, MA:",,,
6,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). ," Multivariate versus univariate decision trees, "," (Coins Technical Report 92-8), "," University of Massachusetts, Department of Computer and Information Science. ",,,," Amherst, MA:",,,
7,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). ," Multivariate versus univariate decision trees, "," (Coins Technical Report 92-8), ","University of Massachusetts, Department of Computer and Information Science. ",,,," Amherst, MA: ",,,
8,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). ," Multivariate versus univariate decision trees, "," (Coins Technical Report 92-8), "," University of Massachusetts, Department of Computer and Information Science. ",,,," Amherst, MA:",,,
9,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). , Multivariate versus univariate decision trees. ," Tech. rep. COINS CR 92-8, "," Dept. of Computer Science, University of Massachusetts atAmherst",,,,,,,
10,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). , Multivariate versus univariate decision trees. ," Tech. rep. COINS CR 92-8, "," Dept. of Computer Science, University of Massachusetts at Amherst. ",,,,,,,
11,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). , Multivariate versus univariate decision trees. ," Tech. rep. COINS CR 92-8, "," Dept. of Computer Science, University of Massachusetts at Amherst. ",,,,,,,
12,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). , Multivariate versus univariate decision trees. ," Tech. rep. COINS CR 92-8, "," Dept. of Computer Science, University of Massachusetts at Amherst. ",,,,,,,
13,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). , Multivariate versus univariate decision trees. ," Tech. rep. COINS CR 92-8, "," Dept. of Computer Science, University of Massachusetts at Amherst. ",,,,,,,
14,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). , Multivariate versus univariate decision trees. ," Tech. rep. COINS CR 92-8, "," Dept. of Computer Science, University of Massachusetts at Amherst. ",,,,,,,
15,brodley1992," Brodley, C. E., & Utgoff, P. E. ", (1992). , Multivariate versus univariate decision trees. ," Tech. rep. COINS CR 92-8, "," Dept. of Computer Science, University of Massachusetts at Amherst. ",,,,,,,
16,brodley1992," Brodley, C. E., and Utgoff, P. E. ", 1992. , Multivariate Versus Univariate Decision Trees. ," COINS Technical Report 92-8, "," Dept. of Computer Science, Univ. of Mass. ",,,,,,,
17,brodley1992," C.E. Brodley and P.E. Ut-goff, ", 1992. , Multivariate versus univariate decision trees. ," COINS Technical Report 92-8, "," Department of Computer Science, University of Massachusetts,",,,," Amherst, Massachusetts, USA, ",,,
18,brodley1992," C.E. Brodley and P.E. Utgoff, ", 1992. , Multivariate versus univariate decision trees. ," COINS Technical Report 92-8, "," Department of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
19,brodley1992," Brodley, C. E., and Utgoff, P. E. ", 1992. , Multivariate Versus Univariate Decision Trees. ," COINS Technical Report 92-8, "," Dept. of Computer Science, ",,,, U. Mass. ,,,
20,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
21,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
22,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
23,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
24,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
25,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
26,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
27,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
28,brodley1992, Carla E. Brodley and Paul E. Utgoff. , 1992. , Multivariate versus univariate decision trees. ," Technical Report COINS-CR-92-8, "," Dept. of Computer Science, University of Massachusetts,",,,," Amherst, MA, ",,,
29,brodley1992," Brodley, C.E., and Utgoff, P.E. ", 1992. , Multivariate Versus Univariate Decision Trees. ," COINS Technical Report 92-8, "," Computer Science Dept.,",,,, UMass. ,,,
30,brodley1992b, C. E. Brodley and P. E. Utgoff. , 1992. , Multivariate decision trees. ," COINS Technical Report 92-83, "," University of Massachussets,",,,," Amherst, Massachusetts, ",,,
31,brodley1992b, C. E. Brodley and P. E. Utgoff. , 1992. , Multivariate decision trees. ," COINS Technical Report 92-83, "," University of Massachussets,",,,," Amherst, Massachusetts, ",,,
32,brodley1992b, C. E. Brodley and P. E. Utgoff. , 1992. , Multivariate decision trees. ," COINS Technical Report 92-83, "," University of Massachussets,",,,," Amherst, Massachusetts, ",,,
33,brodley1992b, C. E. Brodley and P. E. Utgoff. , 1992. , Multivariate decision trees. ," COINS Technical Report 92-83, "," University of Massachusetts, ",,,,"Amherst, Massachusetts, ",,,
