lid,rid
403101,443604
64846,860539
172465,1013447
609334,1210449
64790,634606
164122,737304
532152,806628
310150,350060
615745,940949
214249,1138185
473826,643202
764143,913551
370991,1003394
228540,641047
474248,503510
1022702,1119211
763069,952626
281813,659081
591381,615745
249495,1106068
336140,657984
197645,297216
586081,762330
154217,337548
128735,1172518
697870,1153215
49235,151827
376504,1001298
781766,1077555
302931,724592
457176,1056147
49235,906496
466923,892699
49983,474248
158654,902740
880265,1026192
350528,955197
188132,784606
63417,325171
398934,878347
685492,991357
524,1010517
102089,284933
947172,1016351
153055,695546
256056,336140
116937,1173287
762330,931655
31449,769158
300421,688583
111675,1131810
199230,300967
836413,1042554
413184,945616
641126,1067048
702173,1099381
63135,312805
476935,1136369
68296,1036926
84492,282566
982057,991052
895242,1064412
560383,906496
74481,1146042
661711,1141864
711415,1045416
151704,1106153
1033086,1064412
310150,418195
955197,984303
364606,971513
610537,1130826
701771,1050553
382431,569825
1123797,1195986
284933,1050636
110355,856645
295618,693296
153920,1015046
50663,61849
150791,239428
36659,1101861
405512,1176622
919604,919642
164122,537793
955539,1133781
714780,1131008
29005,499657
502115,855785
78301,296919
68296,1050553
61849,698552
19571,838529
116937,861210
701796,756693
467265,1064412
146938,282566
550263,759535
206476,1120760
19706,880309
180628,860031
270354,835116
151827,574266
586081,931655
312805,569381
214249,1036926
653815,1106068
568667,982836
475864,959788
1012545,1176892
1071486,1200526
179870,288826
40253,858374
618141,831517
206476,242741
54473,1042554
287984,412257
474444,809314
778978,932308
281813,915812
458492,594216
149609,1173791
242741,1136513
1026192,1106842
545887,559932
330488,1017233
281809,361657
303238,521109
72067,901351
286055,689358
519141,991583
211912,1185370
9091,386383
543647,966235
120380,544528
155048,989839
219123,853844
128859,312805
426139,509315
99025,792263
906496,973102
515093,831517
155074,918821
519141,781766
551867,659081
543658,581729
4216,18214
410735,1064412
9213,347126
672324,1060500
259785,1058184
161758,425879
369253,781486
148631,689358
242741,1071486
166742,1181858
139024,405512
96086,322825
151704,243953
1120760,1195485
796517,1166277
481647,1111763
529281,1106153
711415,865189
47884,594216
128859,1126736
615745,1120760
155168,567826
1478,557660
231714,866050
164255,962196
30549,476435
968858,1195986
425879,1188969
739278,988475
99025,290170
348612,1133381
963160,1154436
470729,561426
149609,459931
723126,1182984
67134,1139427
856645,1206040
531740,1077593
560842,1003037
521874,676431
591381,1136513
169836,197645
